row_number;col_a;col_b;ingestion_action;target_metric_or_metrics;import_as_source;layer;note
131;Откуда пришли;Kuda Moscow;Change_source_to_ERP;Source share;yes;source;Observed source-share metric.
132;Откуда пришли;Kuda go;Change_source_to_ERP;Source share;yes;source;Observed source-share metric.
133;Откуда пришли;Иммерсивный.ру;Change_source_to_ERP;Source share;yes;source;Observed source-share metric.
134;Откуда пришли;ВК;Change_source_to_ERP;Source share;yes;source;Observed source-share metric.
135;Откуда пришли;Сервис Best Benefits;Change_source_to_ERP;Source share;yes;source;Observed source-share metric.
136;Откуда пришли;Тикетленд;Change_source_to_ERP;Source share;yes;source;Observed source-share metric.
137;Откуда пришли;Primezone;Change_source_to_ERP;Source share;yes;source;Observed source-share metric.
138;ОКК;ОКК;decompose_block;Quality - Internal;no;exclude;Block header.
139;ОКК;Кол-во отсмотренных спектаклей;add_metric;Quality - Internal;yes;source;Observed internal quality metric.
140;ОКК;Процент без нарушений от отсмотренных;add_metric;Quality - Internal;yes;source;Observed internal quality metric.
141;ОКК;Количество предупреждений;add_metric;Quality - Internal;yes;source;Observed internal quality metric.
142;ОКК;Количество штрафов;add_metric;Quality - Internal;yes;source;Observed internal quality metric.
143;ОКК;Количество отстранений от спектакля;add_metric;Quality - Internal;yes;source;Observed internal quality metric.
144;ПРОТОКОЛ-БОТ;ПРОТОКОЛ-БОТ;decompose_block;Quality - Internal;no;exclude;Block header.
145;ПРОТОКОЛ-БОТ;Процент заполненных протоколов ДО спектакля;Change_source_to_ERP - Defer_to_calculates;Quality - Internal;yes;source;Observed internal quality metric.
146;ПРОТОКОЛ-БОТ;Процент заполненных протоколов ПОСЛЕ спектакля;Change_source_to_ERP - Defer_to_calculates;Quality - Internal;yes;source;Observed internal quality metric.
147;ПРОТОКОЛ-БОТ;;decompose_block;Quality - Internal;no;exclude;Block header.
148;ПРОТОКОЛ-БОТ;Всего заполненных ОГ;Change_source_to_ERP - Defer_to_calculates;Quality - Internal;yes;source;Observed internal quality metric.
149;ПРОТОКОЛ-БОТ;Процент от общего количества ОГ;Change_source_to_ERP - Defer_to_calculates;Quality - Internal;yes;source;Observed internal quality metric.
150;ПРОТОКОЛ-БОТ;Из них;exclude;Quality - Internal;yes;source;Observed internal quality metric.
151;ПРОТОКОЛ-БОТ;ГАМАЗ;exclude;Quality - Internal;yes;source;Observed internal quality metric.
152;ПРОТОКОЛ-БОТ;НИКОЛА;exclude;Quality - Internal;yes;source;Observed internal quality metric.
153;ПРОТОКОЛ-БОТ;МАКС;exclude;Quality - Internal;yes;source;Observed internal quality metric.
154;ПРОТОКОЛ-БОТ;ГЛЕБ;exclude;Quality - Internal;yes;source;Observed internal quality metric.
155;ПРОТОКОЛ-БОТ;КСЕНИЯ;exclude;Quality - Internal;yes;source;Observed internal quality metric.
156;ПРОТОКОЛ-БОТ;АНДРЕЙ;exclude;Quality - Internal;yes;source;Observed internal quality metric.
157;ПРОТОКОЛ-БОТ;АЛЕКС;exclude;Quality - Internal;yes;source;Observed internal quality metric.
158;ПРОТОКОЛ-БОТ;ТЁМА;exclude;Quality - Internal;yes;source;Observed internal quality metric.
159;ПРОТОКОЛ-БОТ;ВАСИЛИЙ;exclude;Quality - Internal;yes;source;Observed internal quality metric.
160;ПРОТОКОЛ-БОТ;ИВАН;exclude;Quality - Internal;yes;source;Observed internal quality metric.
161;ПРОТОКОЛ-БОТ;СЕРЖ;exclude;Quality - Internal;yes;source;Observed internal quality metric.
162;Процент ОГ с убийствами;Процент ОГ с убийствами;map_to_metric;Share of OG with murders;yes;source;Observed ratio metric.
163;Процент ОГ с убийствами;ГАМАЗ;exclude;;no;exclude;Нужно руками уточнить интерпретацию.
164;Процент ОГ с убийствами;НИКОЛА;exclude;;no;exclude;Нужно руками уточнить интерпретацию.
165;Процент ОГ с убийствами;МАКС;exclude;;no;exclude;Нужно руками уточнить интерпретацию.
166;Процент ОГ с убийствами;ГЛЕБ;exclude;;no;exclude;Нужно руками уточнить интерпретацию.
167;Процент ОГ с убийствами;КСЕНИЯ;exclude;;no;exclude;Нужно руками уточнить интерпретацию.
168;Процент ОГ с убийствами;АНДРЕЙ;exclude;;no;exclude;Нужно руками уточнить интерпретацию.
169;Процент ОГ с убийствами;АЛЕКС;exclude;;no;exclude;Нужно руками уточнить интерпретацию.
170;Процент ОГ с убийствами;ТЁМА;exclude;;no;exclude;Нужно руками уточнить интерпретацию.
171;Процент ОГ с убийствами;ВАСИЛИЙ;exclude;;no;exclude;Нужно руками уточнить интерпретацию.
172;Процент ОГ с убийствами;ИВАН;exclude;;no;exclude;Нужно руками уточнить интерпретацию.
173;Процент ОГ с убийствами;СЕРЖ;exclude;;no;exclude;Нужно руками уточнить интерпретацию.
174;Процент ОГ с убийствами больше 1;Процент ОГ с убийствами больше 1;map_to_metric;Share of OG with more than one murder;yes;source;Observed ratio metric.
175;Процент ОГ с 1 убийством;Процент ОГ с 1 убийством;map_to_metric;Share of OG with one murder;yes;source;Observed ratio metric.
176;Количество погибших всего на ОГ;Количество погибших всего на ОГ;map_to_metric;Number of deaths on OG;yes;source;Observed incident metric.
177;Количество погибших всего на ОГ;ГАМАЗ;exclude;;no;exclude;Нужно руками уточнить интерпретацию.
178;Количество погибших всего на ОГ;НИКОЛА;exclude;;no;exclude;Нужно руками уточнить интерпретацию.
179;Количество погибших всего на ОГ;МАКС;exclude;;no;exclude;Нужно руками уточнить интерпретацию.
180;Количество погибших всего на ОГ;ГЛЕБ;exclude;;no;exclude;Нужно руками уточнить интерпретацию.
181;Количество погибших всего на ОГ;КСЕНИЯ;exclude;;no;exclude;Нужно руками уточнить интерпретацию.
182;Количество погибших всего на ОГ;АНДРЕЙ;exclude;;no;exclude;Нужно руками уточнить интерпретацию.
183;Количество погибших всего на ОГ;АЛЕКС;exclude;;no;exclude;Нужно руками уточнить интерпретацию.
184;Количество погибших всего на ОГ;ТЁМА;exclude;;no;exclude;Нужно руками уточнить интерпретацию.
185;Количество погибших всего на ОГ;ВАСИЛИЙ;exclude;;no;exclude;Нужно руками уточнить интерпретацию.
186;Количество погибших всего на ОГ;ИВАН;exclude;;no;exclude;Нужно руками уточнить интерпретацию.
187;Количество погибших всего на ОГ;СЕРЖ;exclude;;no;exclude;Нужно руками уточнить интерпретацию.
188;Процент убитых от общего кол-ва зрителей, прошедших через мастера на ог;Процент убитых от общего кол-ва зрителей, прошедших через мастера на ог;map_to_metric;Share killed of total viewers passed through master on OG;yes;source;Observed ratio metric.
189;Процент убитых от общего кол-ва зрителей, прошедших через мастера на ог;Глеб;exclude;;no;exclude;Нужно руками уточнить интерпретацию.
190;Процент убитых от общего кол-ва зрителей, прошедших через мастера на ог;Гамаз;exclude;;no;exclude;Нужно руками уточнить интерпретацию.
191;Процент убитых от общего кол-ва зрителей, прошедших через мастера на ог;Тёма;exclude;;no;exclude;Нужно руками уточнить интерпретацию.
192;Процент убитых от общего кол-ва зрителей, прошедших через мастера на ог;Макс;exclude;;no;exclude;Нужно руками уточнить интерпретацию.
193;Процент убитых от общего кол-ва зрителей, прошедших через мастера на ог;Андрей;exclude;;no;exclude;Нужно руками уточнить интерпретацию.
194;Процент убитых от общего кол-ва зрителей, прошедших через мастера на ог;Василий;exclude;;no;exclude;Нужно руками уточнить интерпретацию.
195;Процент убитых от общего кол-ва зрителей, прошедших через мастера на ог;Ксения;exclude;;no;exclude;Нужно руками уточнить интерпретацию.
196;Процент убитых от общего кол-ва зрителей, прошедших через мастера на ог;Иван;exclude;;no;exclude;Нужно руками уточнить интерпретацию.
197;Процент убитых от общего кол-ва зрителей, прошедших через мастера на ог;Никола;exclude;;no;exclude;Нужно руками уточнить интерпретацию.
198;Процент убитых от общего кол-ва зрителей, прошедших через мастера на ог;Сергей;exclude;;no;exclude;Нужно руками уточнить интерпретацию.
199;Процент убитых от общего кол-ва зрителей, прошедших через мастера на ог;Алекс;exclude;;no;exclude;Нужно руками уточнить интерпретацию.
200;Процент убитых от общего кол-ва зрителей, прошедших через мастера на ог;Антон;exclude;;no;exclude;Нужно руками уточнить интерпретацию.
201;Процент убитых от общего кол-ва зрителей, прошедших через мастера на ог;Александра;exclude;;no;exclude;Нужно руками уточнить интерпретацию.
202;Процент убитых от общего кол-ва зрителей, прошедших через мастера на ог;Вильдан;exclude;;no;exclude;Нужно руками уточнить интерпретацию.
203;Процент убитых от общего кол-ва зрителей, прошедших через мастера на ог;Вася Б;exclude;;no;exclude;Нужно руками уточнить интерпретацию.
204;Процент ОГ со смертями на фельдшера (по таблице ОКК);Процент ОГ со смертями на фельдшера (по таблице ОКК);map_to_metric;Share of OG with deaths on paramedic;yes;source;Observed ratio metric.
205;Процент ОГ со смертями на фельдшера (по таблице ОКК);Серж;exclude;;no;exclude;Нужно руками уточнить интерпретацию.
206;Процент ОГ со смертями на фельдшера (по таблице ОКК);Ксюша;exclude;;no;exclude;Нужно руками уточнить интерпретацию.
207;Процент ОГ со смертями на фельдшера (по таблице ОКК);Никола;exclude;;no;exclude;Нужно руками уточнить интерпретацию.
208;Процент ОГ со смертями на фельдшера (по таблице ОКК);Алекс;exclude;;no;exclude;Нужно руками уточнить интерпретацию.
209;Процент ОГ со смертями на фельдшера (по таблице ОКК);Вася Б;exclude;;no;exclude;Нужно руками уточнить интерпретацию.
210;Процент ОГ со смертями на фельдшера (по таблице ОКК);Ваня;exclude;;no;exclude;Нужно руками уточнить интерпретацию.
211;Процент ОГ со смертями на фельдшера (по таблице ОКК);Дима Лещук;exclude;;no;exclude;Нужно руками уточнить интерпретацию.
212;Процент ОГ со смертями на фельдшера (по таблице ОКК);Сёма;exclude;;no;exclude;Нужно руками уточнить интерпретацию.
213;Процент ОГ со смертями на фельдшера (по таблице ОКК);Женя;exclude;;no;exclude;Нужно руками уточнить интерпретацию.
214;Процент ОГ со смертями на фельдшера (по таблице ОКК);Антон;exclude;;no;exclude;Нужно руками уточнить интерпретацию.
215;Процент ОГ со смертями на фельдшера (по таблице ОКК);Илья;exclude;;no;exclude;Нужно руками уточнить интерпретацию.
216;Процент ОГ со смертями на фельдшера (по таблице ОКК);Андрей М;exclude;;no;exclude;Нужно руками уточнить интерпретацию.
217;Процент ОГ со смертями на фельдшера (по таблице ОКК);Алина;exclude;;no;exclude;Нужно руками уточнить интерпретацию.
218;Процент ОГ со смертями на фельдшера (по таблице ОКК);Альбина;exclude;;no;exclude;Нужно руками уточнить интерпретацию.
219;Процент ОГ со смертями на фельдшера (по таблице ОКК);Андрей;exclude;;no;exclude;Нужно руками уточнить интерпретацию.
220;Процент ОГ со смертями на фельдшера (по таблице ОКК);Артём;exclude;;no;exclude;Нужно руками уточнить интерпретацию.
221;Процент ОГ со смертями на фельдшера (по таблице ОКК);Вася;exclude;;no;exclude;Нужно руками уточнить интерпретацию.
222;Процент ОГ со смертями на фельдшера (по таблице ОКК);Вильдан;exclude;;no;exclude;Нужно руками уточнить интерпретацию.
223;Процент ОГ со смертями на фельдшера (по таблице ОКК);Гамаз;exclude;;no;exclude;Нужно руками уточнить интерпретацию.
224;Процент ОГ со смертями на фельдшера (по таблице ОКК);Жора;exclude;;no;exclude;Нужно руками уточнить интерпретацию.
225;Процент ОГ со смертями на фельдшера (по таблице ОКК);Глеб;exclude;;no;exclude;Нужно руками уточнить интерпретацию.
226;Процент ОГ со смертями на фельдшера (по таблице ОКК);Олег;exclude;;no;exclude;Нужно руками уточнить интерпретацию.
227;Процент ОГ со смертями на фельдшера (по таблице ОКК);Полина;exclude;;no;exclude;Нужно руками уточнить интерпретацию.
228;Процент ОГ со смертями на фельдшера (по таблице ОКК);Тёма;exclude;;no;exclude;Нужно руками уточнить интерпретацию.
229;Процент ОГ, где зрители вышли за фельдшером/ выжили;Процент ОГ, где зрители вышли за фельдшером/ выжили;map_to_metric;Share of OG where viewers went for paramedic and survived;yes;source;Observed ratio metric.
230;Процент ОГ, где зрители не вышли за фельдшером/ не выжили;Процент ОГ, где зрители не вышли за фельдшером/ не выжили;map_to_metric;Share of OG where viewers did not go for paramedic and did not survive;yes;source;Observed ratio metric.
231;Процент ОГ, где зрители не вышли за фельдшером/ не выжили;Серж;exclude;;no;exclude;Нужно руками уточнить интерпретацию.
232;Процент ОГ, где зрители не вышли за фельдшером/ не выжили;Ксюша;exclude;;no;exclude;Нужно руками уточнить интерпретацию.
233;Процент ОГ, где зрители не вышли за фельдшером/ не выжили;Никола;exclude;;no;exclude;Нужно руками уточнить интерпретацию.
234;Процент ОГ, где зрители не вышли за фельдшером/ не выжили;Алекс;exclude;;no;exclude;Нужно руками уточнить интерпретацию.
235;Процент ОГ, где зрители не вышли за фельдшером/ не выжили;Вася Б;exclude;;no;exclude;Нужно руками уточнить интерпретацию.
236;Процент ОГ, где зрители не вышли за фельдшером/ не выжили;Ваня;exclude;;no;exclude;Нужно руками уточнить интерпретацию.
237;Процент ОГ, где зрители не вышли за фельдшером/ не выжили;Дима Лещук;exclude;;no;exclude;Нужно руками уточнить интерпретацию.
238;Процент ОГ, где зрители не вышли за фельдшером/ не выжили;Сёма;exclude;;no;exclude;Нужно руками уточнить интерпретацию.
239;Процент ОГ, где зрители не вышли за фельдшером/ не выжили;Женя;exclude;;no;exclude;Нужно руками уточнить интерпретацию.
240;Процент ОГ, где зрители не вышли за фельдшером/ не выжили;Антон;exclude;;no;exclude;Нужно руками уточнить интерпретацию.
241;Процент ОГ, где зрители не вышли за фельдшером/ не выжили;Илья;exclude;;no;exclude;Нужно руками уточнить интерпретацию.
242;Процент ОГ, где зрители не вышли за фельдшером/ не выжили;Андрей М;exclude;;no;exclude;Нужно руками уточнить интерпретацию.
243;Процент ОГ, где зрители не вышли за фельдшером/ не выжили;Алина;exclude;;no;exclude;Нужно руками уточнить интерпретацию.
244;Процент ОГ, где зрители не вышли за фельдшером/ не выжили;Альбина;exclude;;no;exclude;Нужно руками уточнить интерпретацию.
245;Процент ОГ, где зрители не вышли за фельдшером/ не выжили;Андрей;exclude;;no;exclude;Нужно руками уточнить интерпретацию.
246;Процент ОГ, где зрители не вышли за фельдшером/ не выжили;Артём;exclude;;no;exclude;Нужно руками уточнить интерпретацию.
247;Процент ОГ, где зрители не вышли за фельдшером/ не выжили;Вася;exclude;;no;exclude;Нужно руками уточнить интерпретацию.
248;Процент ОГ, где зрители не вышли за фельдшером/ не выжили;Вильдан;exclude;;no;exclude;Нужно руками уточнить интерпретацию.
249;Процент ОГ, где зрители не вышли за фельдшером/ не выжили;Гамаз;exclude;;no;exclude;Нужно руками уточнить интерпретацию.
250;Процент ОГ, где зрители не вышли за фельдшером/ не выжили;Жора;exclude;;no;exclude;Нужно руками уточнить интерпретацию.
251;Процент ОГ, где зрители не вышли за фельдшером/ не выжили;Глеб;exclude;;no;exclude;Нужно руками уточнить интерпретацию.
252;Процент ОГ, где зрители не вышли за фельдшером/ не выжили;Олег;exclude;;no;exclude;Нужно руками уточнить интерпретацию.
253;Процент ОГ, где зрители не вышли за фельдшером/ не выжили;Полина;exclude;;no;exclude;Нужно руками уточнить интерпретацию.
254;Процент ОГ, где зрители не вышли за фельдшером/ не выжили;Тёма;exclude;;no;exclude;Нужно руками уточнить интерпретацию.