metric_key,metric_name,metric_family,value_kind,description
account_balance,Account balance,finance,currency,Account balance / available cash
actor_upsell_sales,Actor upsell sales,commerce,currency,Revenue from actor upsells / post-show sales.
average_review_rating_overall,Average review rating overall,reviews,score,Overall average review rating.
average_review_rating_weekly_genuine,Average review rating weekly genuine,reviews,score,"Average review rating for the week, genuine reviews only."
average_review_rating_weekly_overall,Average review rating weekly overall,reviews,score,"Average review rating for the week, all reviews."
average_review_rating_weekly_without_negatives_after_resolution,Average review rating weekly without negatives after resolution,reviews,score,Average review rating for the week excluding negatives after resolution.
bonuses_2025,Annual bonuses,costs,currency,Annual bonuses subtotal from the monthly P&L report.
business_travel_costs,Business travel costs,costs,currency,Business-travel subtotal from historical economics sheets.
cost_article_expense_rashody_agentskie,Cost article - Агентские,costs,currency,Agent fees expense article from the monthly P&L report.
cost_article_expense_direktorskiy_protsent,Cost article - Директорский процент,costs_article,currency,Historical monthly economics cost article: director percentage / owner distribution used in total P&L bridge.
cost_article_expense_rashody_agentskie_komissiya,Cost article - Комиссия,costs_article,currency,PlanFact monthly expense article: expense/Расходы/Агентские/Комиссия
cost_article_expense_rashody_dlya_spektakley_rekvizit_kostyumy,Cost article - Реквизит/костюмы,costs_article,currency,PlanFact monthly expense article: expense/Расходы/Для спектаклей/Реквизит/костюмы
cost_article_expense_rashody_dlya_spektakley_teh_osnaschenie,Cost article - Тех оснащение,costs_article,currency,PlanFact monthly expense article: expense/Расходы/Для спектаклей/Тех оснащение
cost_article_expense_rashody_drugoe,Cost article - Другое,costs_article,currency,PlanFact monthly expense article: expense/Расходы/Другое
cost_article_expense_rashody_fot_administrativnyy_personal_fot,Cost article - Административный персонал ФОТ,costs_article,currency,PlanFact monthly expense article: expense/Расходы/ФОТ/Административный персонал ФОТ
cost_article_expense_rashody_fot_aktery_fot,Cost article - Актёры ФОТ,costs_article,currency,PlanFact monthly expense article: expense/Расходы/ФОТ/Актёры ФОТ
cost_article_expense_rashody_fot_drugoe_fot,Cost article - Другое ФОТ,costs_article,currency,PlanFact monthly expense article: expense/Расходы/ФОТ/Другое ФОТ
cost_article_expense_rashody_fot_it_fot,Cost article - IT ФОТ,costs_article,currency,PlanFact monthly expense article: expense/Расходы/ФОТ/IT ФОТ
cost_article_expense_rashody_fot_korporativy_fiks,Cost article - Корпоративы фикс,costs_article,currency,PlanFact monthly expense article: expense/Расходы/ФОТ/Корпоративы фикс
cost_article_expense_rashody_fot_upravlencheskiy_personal_fot,Cost article - Управленческий персонал ФОТ,costs_article,currency,PlanFact monthly expense article: expense/Расходы/ФОТ/Управленческий персонал ФОТ
cost_article_expense_rashody_komandnye_komandirovochnye,Cost article - Командировочные,costs_article,currency,PlanFact monthly expense article: expense/Расходы/Командные/Командировочные
cost_article_expense_rashody_komandnye_predstavitelskie,Cost article - Представительские,costs_article,currency,PlanFact monthly expense article: expense/Расходы/Командные/Представительские
cost_article_expense_rashody_komandnye_prozhivanie,Cost article - Проживание,costs_article,currency,PlanFact monthly expense article: expense/Расходы/Командные/Проживание
cost_article_expense_rashody_komandnye_transport,Cost article - Транспорт,costs_article,currency,PlanFact monthly expense article: expense/Расходы/Командные/Транспорт
cost_article_expense_rashody_logistika_dostavka,Cost article - Доставка,costs_article,currency,PlanFact monthly expense article: expense/Расходы/Логистика/Доставка
cost_article_expense_rashody_logistika_taksi,Cost article - Такси,costs_article,currency,PlanFact monthly expense article: expense/Расходы/Логистика/Такси
cost_article_expense_rashody_neraspredelennyy_rashod,Cost article - Нераспределенный расход,costs_article,currency,PlanFact monthly expense article: expense/Расходы/Нераспределенный расход
cost_article_expense_rashody_pereezd_remont_stroyka_stroymaterialy,Cost article - Ремонт/Стройка/Стройматериалы,costs_article,currency,PlanFact monthly expense article: expense/Расходы/ПЕРЕЕЗД/Ремонт/Стройка/Стройматериалы
cost_article_expense_rashody_pereezd_svet_mebel_predmety_interera,Cost article - Свет/Мебель/Предметы интерьера,costs_article,currency,PlanFact monthly expense article: expense/Расходы/ПЕРЕЕЗД/Свет/Мебель/Предметы интерьера
cost_article_expense_rashody_pereezd_tehnika,Cost article - Техника,costs_article,currency,PlanFact monthly expense article: expense/Расходы/ПЕРЕЕЗД/Техника
cost_article_expense_rashody_pomeschenie_i_ofis_arenda_i_kommunalka,Cost article - Аренда и коммуналка,costs_article,currency,PlanFact monthly expense article: expense/Расходы/Помещение и офис/Аренда и коммуналка
cost_article_expense_rashody_pomeschenie_i_ofis_ezhemesyachnye_scheta,Cost article - Ежемесячные счета,costs_article,currency,PlanFact monthly expense article: expense/Расходы/Помещение и офис/Ежемесячные счета
cost_article_expense_rashody_pomeschenie_i_ofis_mebel_i_predmety_interera,Cost article - Мебель и предметы интерьера,costs_article,currency,PlanFact monthly expense article: expense/Расходы/Помещение и офис/Мебель и предметы интерьера
cost_article_expense_rashody_pomeschenie_i_ofis_rashodniki_ofisnye,Cost article - Расходники (офисные),costs_article,currency,PlanFact monthly expense article: expense/Расходы/Помещение и офис/Расходники (офисные)
cost_article_expense_rashody_pomeschenie_i_ofis_remont_i_obsluzhivanie,Cost article - Ремонт и обслуживание,costs_article,currency,PlanFact monthly expense article: expense/Расходы/Помещение и офис/Ремонт и обслуживание
cost_article_expense_rashody_pomeschenie_i_ofis_uborka,Cost article - Уборка,costs_article,currency,PlanFact monthly expense article: expense/Расходы/Помещение и офис/Уборка
cost_article_expense_rashody_premii_2025_korporativy_zp_proektnye,Cost article - Корпоративы ЗП проектные,costs_article,currency,PlanFact monthly expense article: expense/Расходы/ПРЕМИИ 2025/Корпоративы ЗП проектные
cost_article_expense_rashody_premii_2025_premii_administrativnyy_personal,Cost article - Премии административный персонал,costs_article,currency,PlanFact monthly expense article: expense/Расходы/ПРЕМИИ 2025/Премии административный персонал
cost_article_expense_rashody_premii_2025_premii_aktery,Cost article - Премии актёры,costs_article,currency,PlanFact monthly expense article: expense/Расходы/ПРЕМИИ 2025/Премии актёры
cost_article_expense_rashody_premii_2025_premii_upravlench_personal,Cost article - Премии управленч персонал,costs_article,currency,PlanFact monthly expense article: expense/Расходы/ПРЕМИИ 2025/Премии управленч персонал
cost_article_expense_rashody_prochie_rashody_amortizatsiya,Cost article - Амортизация,costs_article,currency,PlanFact monthly expense article: expense/Расходы/Прочие расходы/Амортизация
cost_article_expense_rashody_prochie_rashody_kursovaya_raznitsa,Cost article - Курсовая разница (-),costs_article,currency,PlanFact monthly expense article: expense/Расходы/Прочие расходы/Курсовая разница (-)
cost_article_expense_rashody_prochie_rashody_nalog_na_pribyl_dohody,Cost article - Налог на прибыль (доходы),costs_article,currency,PlanFact monthly expense article: expense/Расходы/Прочие расходы/Налог на прибыль (доходы)
cost_article_expense_rashody_prochie_rashody_protsenty_po_kreditam_i_zaymam,Cost article - Проценты по кредитам и займам,costs_article,currency,PlanFact monthly expense article: expense/Расходы/Прочие расходы/Проценты по кредитам и займам
cost_article_expense_rashody_rashody_na_b2b_prodakshn,Cost article - Расходы на B2B (продакшн),costs_article,currency,PlanFact monthly expense article: expense/Расходы/Расходы на B2B (продакшн)
cost_article_expense_rashody_peremennye_investitsii_novyy_spektakl,Cost article - Новый спектакль,costs_article,currency,PlanFact monthly expense article: expense/Расходы/Переменные/Инвестиции/Новый спектакль
cost_article_expense_rashody_peremennye_investitsii_novyy_spektakl_novyy_spektakl_zakupki,Cost article - Новый спектакль_Закупки,costs_article,currency,PlanFact monthly expense article: expense/Расходы/Переменные/Инвестиции/Новый спектакль/Новый спектакль_Закупки
cost_article_expense_rashody_peremennye_investitsii_novyy_spektakl_novyy_spektakl_zarplaty,Cost article - Новый спектакль_Зарплаты,costs_article,currency,PlanFact monthly expense article: expense/Расходы/Переменные/Инвестиции/Новый спектакль/Новый спектакль_Зарплаты
cost_article_expense_rashody_peremennye_investitsii_remont_v_malom_zale,Cost article - Ремонт в Малом зале,costs_article,currency,PlanFact monthly expense article: expense/Расходы/Переменные/Инвестиции/Ремонт в Малом зале
cost_article_expense_rashody_raznye_nalogi_i_vznosy,Cost article - Разные налоги и взносы,costs_article,currency,Historical economics expense article: Разные налоги и взносы.
cost_article_expense_rashody_raznye_nalogi_i_vznosy_strahovye_vznosy,Cost article - Страховые взносы,costs_article,currency,PlanFact monthly expense article: expense/Расходы/Разные налоги и взносы/Страховые взносы
cost_article_expense_rashody_servisy_i_ih_nastroyka_komissii_bankov,Cost article - КОМИССИИ БАНКОВ,costs_article,currency,PlanFact monthly expense article: expense/Расходы/Сервисы и их настройка/КОМИССИИ БАНКОВ
cost_article_expense_rashody_servisy_i_ih_nastroyka_otsmotr_video,Cost article - Отсмотр видео,costs_article,currency,PlanFact monthly expense article: expense/Расходы/Сервисы и их настройка/Отсмотр видео
cost_article_expense_rashody_uslugi_tipografii,Cost article - Услуги типографии,costs_article,currency,PlanFact monthly expense article: expense/Расходы/Услуги типографии
costs_salary_fixed,Costs - Salary fixed,costs,currency,Fixed salary costs
costs_salary_variable,Costs - Salary variable,costs,currency,Variable salary costs
dividends,Dividends,finance,currency,Dividends from the monthly P&L report.
ebit,EBIT,finance,currency,EBIT from the monthly P&L report.
ebitda,EBITDA,finance,currency,EBITDA from the monthly P&L report.
ebt,EBT,finance,currency,EBT from the monthly P&L report.
fixed_costs,Fixed costs,costs,currency,Fixed-costs subtotal from economics / P&L structures.
investment_costs,Investment costs,costs,currency,Investment-costs subtotal from economics / P&L structures.
logistics_costs,Logistics costs,costs,currency,Logistics subtotal from the monthly P&L report.
marketing_costs,Marketing costs,marketing,currency,Advertising/marketing spend
metrica_tracked_purchase_visits,Metrica tracked purchase visits,attribution,count,Purchase-converted visits reported by Yandex Metrica and attributed by channel.
net_profit,Net profit,finance,currency,Net profit from the monthly P&L report.
number_of_cancelled_non_sd_shows_actor_master_shortage,Number of cancelled non-SD shows - actor/master shortage,shows_cancelled_reason,count,Cancelled non-SD shows because of actor or master shortage.
number_of_cancelled_non_sd_shows_no_tickets_sold,Number of cancelled non-SD shows - no tickets sold,shows_cancelled_reason,count,Cancelled non-SD shows because tickets were not sold.
number_of_cancelled_non_sd_shows_special_shows,Number of cancelled non-SD shows - special shows,shows_cancelled_reason,count,Cancelled non-SD shows because of special shows.
number_of_cancelled_sd_shows_actor_master_shortage,Number of cancelled SD shows - actor/master shortage,shows_cancelled_reason,count,Cancelled SD shows because of actor or master shortage.
number_of_cancelled_sd_shows_no_tickets_sold,Number of cancelled SD shows - no tickets sold,shows_cancelled_reason,count,Cancelled SD shows because tickets were not sold.
number_of_cancelled_sd_shows_special_shows,Number of cancelled SD shows - special shows,shows_cancelled_reason,count,Cancelled SD shows because of special shows.
number_of_certificate_visitors,Number of certificate visitors,operations,count,Visitors who came via certificates.
number_of_certificates,Number of certificates,commerce,count,Certificate count
number_of_completed_og_protocols,Number of completed OG protocols,quality_internal,count,Number of completed OG protocols.
number_of_concepts_sent,Number of concepts sent,sales_funnel,count,Leads that reached concept sent stage.
number_of_contacts_established,Number of contacts established,sales_funnel,count,Leads that reached contact established stage.
number_of_contracts_approved,Number of contracts approved,sales_funnel,count,Leads that reached contract approved stage.
number_of_contracts_sent,Number of contracts sent,sales_funnel,count,Leads that reached contract sent stage.
number_of_creative_meetings,Number of creative meetings,sales_funnel,count,Creative meetings count
number_of_creative_meetings_scheduled,Number of creative meetings scheduled,sales_funnel,count,Leads that reached creative meeting scheduled stage.
number_of_deaths_on_og,Number of deaths on OG,quality,count,Count of deaths / critical outcomes on OG.
number_of_fines,Number of fines,quality_internal,count,Number of fines.
number_of_free_certificates_and_tickets,Number of free certificates and tickets,commerce,count,Free certificates and free tickets issued.
number_of_genuine_reviews,Number of genuine reviews,reviews,count,Reviews considered genuine during the period.
number_of_leads,Number of leads,sales_funnel,count,Lead count
number_of_lost_leads,Number of lost leads,sales_funnel,count,Leads that were marked lost.
number_of_new_yandex_maps_reviews,Number of new Yandex Maps reviews,reviews,count,New Yandex Maps reviews during the period.
number_of_non_genuine_reviews,Number of non-genuine reviews,reviews,count,Reviews considered non-genuine during the period.
number_of_orders,Number of orders,commerce,count,Order count
number_of_payments_received,Number of payments received,sales_funnel,count,Leads that reached payment received stage.
number_of_post_show_survey_responses,Number of post-show survey responses,quality,count,Count of non-empty post-show audience survey responses.
number_of_proposals_sent,Number of proposals sent,sales_funnel,count,Leads that reached proposal sent stage.
number_of_qualified_leads,Number of qualified leads,sales_funnel,count,Leads that reached qualified stage.
number_of_question_3_responses,Number of question 3 responses,quality,count,"Count of answers by category for post-show survey question 3, by show."
number_of_question_4_responses,Number of question 4 responses,quality,count,"Count of answers by category for post-show survey question 4, by show."
number_of_resolved_negative_reviews,Number of resolved negative reviews,reviews,count,Number of negative reviews that were resolved.
number_of_reviewed_ogs,Number of reviewed OGs,quality_internal,count,Number of reviewed OGs.
number_of_reviewed_shows,Number of reviewed shows,quality_internal,count,Number of reviewed shows.
number_of_show_rating_responses,Number of show rating responses,quality,count,Count of non-empty post-show rating answers (question 1) by show.
number_of_show_removals,Number of show removals,quality_internal,count,Number of removals from shows.
number_of_show_visitors,Number of show visitors,operations,count,Visitors who attended shows
number_of_shows,Number of shows,operations,count,Show count
number_of_shows_cancelled,Number of shows cancelled,operations,count,Cancelled show count
number_of_source_attribution_responses,Number of source-attribution responses,attribution,count,Count of normalized source-attribution answers from post-show audience survey.
number_of_tickets,Number of tickets,commerce,count,Ticket count
number_of_warnings,Number of warnings,quality_internal,count,Number of warnings.
operating_expenses,Operating expenses,costs,currency,Operating expenses subtotal from the monthly P&L report.
operating_profit,Operating profit,finance,currency,Operating profit from the monthly P&L report.
other_expenses,Other expenses,finance,currency,Other expenses subtotal from the monthly P&L report.
other_income,Other income,finance,currency,Other income subtotal from the monthly P&L report.
other_income_deposit_interest,Other income - Deposit interest,finance,currency,Deposit interest as other income in the monthly P&L report.
other_income_purchase_returns,Other income - Purchase returns,finance,currency,Purchase returns as other income in the monthly P&L report.
quality_external,Quality - External,quality,score_or_count,External quality / reviews / ratings
relocation_costs,Relocation costs,costs,currency,Relocation subtotal from the monthly P&L report.
retained_earnings,Retained earnings,finance,currency,Retained earnings from the monthly P&L report.
returns_amount,Returns amount,finance,currency,Amount of returns / refunds.
returns_amount_non_theater_fault,Returns amount - non-theater fault,returns,currency,Returns amount not caused by theater fault.
returns_amount_theater_fault,Returns amount - theater fault,returns,currency,Returns amount caused by theater fault.
revenue,Revenue,finance,currency,Revenue / incoming cash depending on source
revenue_show_date,Revenue - Show date,finance,currency,Revenue from shows performed in the period; for ERP ticket sales this follows show/seance date rather than sell date.
revenue_financial_operations,Revenue - Financial operations,finance,currency,Financial-operation inflows such as Приход с депозита.
revenue_other,Revenue - Other,finance,currency,Other revenue / miscellaneous inflows such as Другое юкасса.
salary_costs,Salary costs,costs,currency,Salary costs subtotal from the monthly P&L report.
scheduling_complexity,Scheduling complexity,operations,score,"Calculated scheduling complexity score, typically 1-5."
services_and_setup_costs,Services and setup costs,costs,currency,Services and setup costs subtotal from the monthly P&L report.
share_killed_of_total_viewers_through_master_on_og,Share killed of total viewers passed through master on OG,quality,ratio,Share of killed viewers among total viewers that passed through master on OG.
share_of_negative_reviews_from_visitors,Share of negative reviews from visitors,reviews,ratio,Share of negative reviews from visitors.
share_of_reviewed_shows_without_violations,Share of reviewed shows without violations,quality_internal,ratio,Share of reviewed shows without violations.
share_og_did_not_go_for_paramedic_and_did_not_survive,Share of OG where viewers did not go for paramedic and did not survive,quality,ratio,Share of OG sessions where viewers did not go for paramedic and did not survive.
share_og_went_for_paramedic_and_survived,Share of OG where viewers went for paramedic and survived,quality,ratio,Share of OG sessions where viewers went for paramedic and survived.
share_og_with_more_than_one_murder,Share of OG with more than one murder,quality,ratio,Share of OG sessions with more than one murder.
share_og_with_murders,Share of OG with murders,quality,ratio,Share of OG sessions with murders.
share_og_with_one_murder,Share of OG with one murder,quality,ratio,Share of OG sessions with exactly one murder.
share_og_with_paramedic_deaths,Share of OG with deaths on paramedic,quality,ratio,Share of OG sessions with deaths on paramedic according to OKK logic.
show_production_costs,Show production costs,costs,currency,Show production costs subtotal from the monthly P&L report.
sum_of_post_show_ratings,Sum of post-show ratings,quality,score,Sum of numeric post-show ratings from question 1 by show.
taxes_and_contributions,Taxes and contributions,costs,currency,Taxes and contributions subtotal from the monthly P&L report.
team_expenses,Team expenses,costs,currency,Team-expenses subtotal from economics / P&L structures.
variable_costs,Variable costs,costs,currency,Variable-costs subtotal from economics / P&L structures.
variable_logistics_costs,Variable logistics costs,costs,currency,Variable logistics subtotal from economics / P&L structures.
venue_and_office_costs,Venue and office costs,costs,currency,Venue and office costs subtotal from the monthly P&L report.
website_visits,Website visits,traffic,count,Site visits
website_orders,Website orders,commerce,count,Orders placed through the owned site/widget contour.
yandex_direct_conversion_revenue,Performance marketing revenue,attribution,currency,Performance revenue from Yandex Metrica favorite-goals converted RUB revenue for Yandex Direct plus Yandex Direct: Undetermined. Legacy metric key kept for compatibility with existing views.
