metric_label,units,row_examples,current_plan_actions,heuristic_category,reason
доля сертификатов в выручке,"b2c_moscow,b2c_spb","b2c_moscow:26;b2c_spb:24",defer_to_calculated,share_of_revenue,Observed in live manual tables through the canonical Google service account and should live in the calculated layer.
% возвратов от выручки,"b2c_moscow,b2c_spb","b2c_moscow:38;b2c_spb:31","map_to_metric,defer_to_calculated",share_of_revenue,Observed in live manual tables through the canonical Google service account and should live in the calculated layer.
Средняя загрузка шоу (по факту дошедшие зрители),b2c_moscow,b2c_moscow:56,defer_to_calculated,average_load,Observed in live manual tables through the canonical Google service account and should live in the calculated layer.
Средняя загрузка шоу (выкупленные билеты),b2c_moscow,b2c_moscow:57,defer_to_calculated,average_load,Observed in live manual tables through the canonical Google service account and should live in the calculated layer.
Средняя загрузка СД (по факту дошедшие зрители),b2c_moscow,b2c_moscow:58,defer_to_calculated,average_load,Observed in live manual tables through the canonical Google service account and should live in the calculated layer.
Средняя загрузка СД (выкупленные билеты),b2c_moscow,b2c_moscow:59,decompose_block,average_load,Observed in live manual tables through the canonical Google service account and should live in the calculated layer.
Средняя загрузка шоу,b2c_spb,b2c_spb:54,defer_to_calculated,average_load,Observed in live manual tables through the canonical Google service account and should live in the calculated layer.
Средняя загрузка СД,b2c_spb,b2c_spb:55,decompose_block,average_load,Observed in live manual tables through the canonical Google service account and should live in the calculated layer.
% общ. к выручке,b2c_moscow,b2c_moscow:75,,share_of_revenue,Observed in live manual tables through the canonical Google service account and should live in the calculated layer.
"конверсия в заказ,%",b2c_moscow,b2c_moscow:81,defer_to_calculated,conversion,Observed in live manual tables through the canonical Google service account and should live in the calculated layer.
"конверсия в билет из сеанса, %",b2c_moscow,b2c_moscow:82,map_to_metric,conversion,Observed in live manual tables through the canonical Google service account and should live in the calculated layer.
"конверсия в заказ, %",b2c_spb,b2c_spb:38,map_to_metric,conversion,Observed in live manual tables through the canonical Google service account and should live in the calculated layer.
"конверсия в билет, %",b2c_spb,b2c_spb:39,map_to_metric,conversion,Observed in live manual tables through the canonical Google service account and should live in the calculated layer.
Средняя оценка по отзывам за неделю (общая),"b2c_moscow,b2c_spb","b2c_moscow:103;b2c_spb:61",map_to_metric,average_score,Observed in live manual tables through the canonical Google service account and should live in the calculated layer.
Средняя оценка по отзывам за неделю (по настоящим),"b2c_moscow,b2c_spb","b2c_moscow:104;b2c_spb:62",map_to_metric,average_score,Observed in live manual tables through the canonical Google service account and should live in the calculated layer.
Процент негативных (от посетивших),"b2c_moscow,b2c_spb","b2c_moscow:105;b2c_spb:63",map_to_metric,share,Observed in live manual tables through the canonical Google service account and should live in the calculated layer.
Средняя оценка за неделю без негативных, если ликвидировали (общая),"b2c_moscow,b2c_spb","b2c_moscow:107;b2c_spb:65","map_to_metric,decompose_block",average_score,Observed in live manual tables through the canonical Google service account and should live in the calculated layer.
Средняя общая,"b2c_moscow,b2c_spb","b2c_moscow:108;b2c_spb:66","decompose_block,defer_to_calculated",average_score,Observed in live manual tables through the canonical Google service account and should live in the calculated layer.
Процент заполнивших от всех зрителей,"b2c_moscow,b2c_spb","b2c_moscow:110;b2c_spb:68","defer_to_calculated,map_to_metric",share,Observed in live manual tables through the canonical Google service account and should live in the calculated layer.
Средняя оценка,"b2c_moscow,b2c_spb","b2c_moscow:111;b2c_spb:69","defer_to_calculated,map_to_metric",average_score,Observed in live manual tables through the canonical Google service account and should live in the calculated layer.
Процент без нарушений от отсмотренных,"b2c_moscow,b2c_spb","b2c_moscow:141;b2c_spb:97","map_to_metric,defer_to_calculated",share,Observed in live manual tables through the canonical Google service account and should live in the calculated layer.
Процент заполненных протоколов ДО спектакля,b2c_moscow,b2c_moscow:146,defer_to_calculated,share,Observed in live manual tables through the canonical Google service account and should live in the calculated layer.
Процент заполненных протоколов ПОСЛЕ спектакля,"b2c_moscow,b2c_spb","b2c_moscow:147;b2c_spb:116","decompose_block,defer_to_calculated",share,Observed in live manual tables through the canonical Google service account and should live in the calculated layer.
Процент от общего количества ОГ,"b2c_moscow,b2c_spb","b2c_moscow:150;b2c_spb:118","defer_to_calculated,map_to_metric",share,Observed in live manual tables through the canonical Google service account and should live in the calculated layer.
Процент ОГ с убийствами,"b2c_moscow,b2c_spb","b2c_moscow:163;b2c_spb:120","exclude,map_to_metric",share,Observed in live manual tables through the canonical Google service account and should live in the calculated layer.
Процент ОГ с убийствами больше 1,"b2c_moscow,b2c_spb","b2c_moscow:175;b2c_spb:121",map_to_metric,share,Observed in live manual tables through the canonical Google service account and should live in the calculated layer.
Процент ОГ с 1 убийством,"b2c_moscow,b2c_spb","b2c_moscow:176;b2c_spb:122",map_to_metric,share,Observed in live manual tables through the canonical Google service account and should live in the calculated layer.
Процент убитых от общего кол-ва зрителей, прошедших через мастера на ог,"b2c_moscow,b2c_spb","b2c_moscow:189;b2c_spb:124","exclude,map_to_metric",share,Observed in live manual tables through the canonical Google service account and should live in the calculated layer.
Процент ОГ со смертями на фельдшера (по таблице ОКК),b2c_moscow,b2c_moscow:205,exclude,share,Observed in live manual tables through the canonical Google service account and should live in the calculated layer.
Процент ОГ, где зрители вышли за фельдшером/ выжили,b2c_moscow,b2c_moscow:230,map_to_metric,share,Observed in live manual tables through the canonical Google service account and should live in the calculated layer.
Процент ОГ, где зрители не вышли за фельдшером/ не выжили,b2c_moscow,b2c_moscow:231,exclude,share,Observed in live manual tables through the canonical Google service account and should live in the calculated layer.
Процент отсмотренных от общего кол-ва ОГ,b2c_spb,b2c_spb:99,map_to_metric,share,Observed in live manual tables through the canonical Google service account and should live in the calculated layer.
Процент ОГ, где зрители вышли за фельдшером,b2c_spb,b2c_spb:100,map_to_metric,share,Observed in live manual tables through the canonical Google service account and should live in the calculated layer.
Процент с убийствами,b2c_spb,b2c_spb:101,map_to_metric,share,Observed in live manual tables through the canonical Google service account and should live in the calculated layer.
процент от общего кол-ва зрителей (из отсмотренных спектаклей),b2c_spb,b2c_spb:114,defer_to_calculated,share,Observed in live manual tables through the canonical Google service account and should live in the calculated layer.
