status,business_unit,period_start,canonical_metric,value_numeric,reason,source_metrics
skipped,b2b,2020-01-01,Variable costs,,no_descendant_values,
skipped,b2b,2020-02-01,Variable costs,,no_descendant_values,
skipped,b2b,2020-03-01,Variable costs,,no_descendant_values,
skipped,b2b,2020-04-01,Variable costs,,no_descendant_values,
skipped,b2b,2020-05-01,Variable costs,,no_descendant_values,
skipped,b2b,2020-06-01,Variable costs,,no_descendant_values,
skipped,b2b,2020-07-01,Variable costs,,no_descendant_values,
skipped,b2b,2020-08-01,Variable costs,,no_descendant_values,
skipped,b2b,2020-09-01,Variable costs,,no_descendant_values,
skipped,b2b,2020-10-01,Variable costs,,no_descendant_values,
skipped,b2b,2020-11-01,Variable costs,,no_descendant_values,
skipped,b2b,2020-12-01,Variable costs,,no_descendant_values,
skipped,b2b,2021-01-01,Variable costs,,no_descendant_values,
skipped,b2b,2021-02-01,Variable costs,,no_descendant_values,
skipped,b2b,2021-03-01,Variable costs,,no_descendant_values,
skipped,b2b,2021-04-01,Variable costs,,no_descendant_values,
skipped,b2b,2021-05-01,Variable costs,,no_descendant_values,
skipped,b2b,2021-06-01,Variable costs,,no_descendant_values,
skipped,b2b,2021-07-01,Variable costs,,no_descendant_values,
skipped,b2b,2021-08-01,Variable costs,,no_descendant_values,
skipped,b2b,2021-09-01,Variable costs,,no_descendant_values,
skipped,b2b,2021-10-01,Variable costs,,no_descendant_values,
skipped,b2b,2021-11-01,Variable costs,,no_descendant_values,
skipped,b2b,2021-12-01,Variable costs,,no_descendant_values,
skipped,b2b,2022-01-01,Variable costs,,no_descendant_values,
skipped,b2b,2022-02-01,Variable costs,,no_descendant_values,
skipped,b2b,2022-03-01,Variable costs,,no_descendant_values,
skipped,b2b,2022-04-01,Variable costs,,no_descendant_values,
skipped,b2b,2022-05-01,Variable costs,,no_descendant_values,
skipped,b2b,2022-06-01,Variable costs,,no_descendant_values,
skipped,b2b,2022-07-01,Variable costs,,no_descendant_values,
skipped,b2b,2022-08-01,Variable costs,,no_descendant_values,
skipped,b2b,2022-09-01,Variable costs,,no_descendant_values,
skipped,b2b,2022-10-01,Variable costs,,no_descendant_values,
skipped,b2b,2022-11-01,Variable costs,,no_descendant_values,
skipped,b2b,2022-12-01,Variable costs,,no_descendant_values,
skipped,b2b,2023-01-01,Variable costs,,no_descendant_values,
inserted,b2b,2023-02-01,Variable costs,14550,backfilled_from_descendants,Costs - Salary variable
inserted,b2b,2023-03-01,Variable costs,73100,backfilled_from_descendants,Costs - Salary variable
inserted,b2b,2023-04-01,Variable costs,510039,backfilled_from_descendants,Costs - Salary variable; Show production costs
inserted,b2b,2023-05-01,Variable costs,0,backfilled_from_descendants,Costs - Salary variable
inserted,b2b,2023-06-01,Variable costs,17900,backfilled_from_descendants,Costs - Salary variable
inserted,b2b,2023-07-01,Variable costs,10700,backfilled_from_descendants,Costs - Salary variable
inserted,b2b,2023-08-01,Variable costs,15900,backfilled_from_descendants,Costs - Salary variable
inserted,b2b,2023-09-01,Variable costs,201000,backfilled_from_descendants,Costs - Salary variable
inserted,b2b,2023-10-01,Variable costs,837300,backfilled_from_descendants,Costs - Salary variable; Show production costs
inserted,b2b,2023-11-01,Variable costs,440000,backfilled_from_descendants,Costs - Salary variable; Show production costs
inserted,b2b,2023-12-01,Variable costs,553000,backfilled_from_descendants,Costs - Salary variable; Show production costs
skipped,b2b,2024-01-01,Variable costs,,no_descendant_values,
skipped,b2b,2024-02-01,Variable costs,,no_descendant_values,
inserted,b2b,2024-03-01,Variable costs,140000,backfilled_from_descendants,Costs - Salary variable
inserted,b2b,2024-04-01,Variable costs,30920,backfilled_from_descendants,Costs - Salary variable
inserted,b2b,2024-05-01,Variable costs,355000,backfilled_from_descendants,Costs - Salary variable; Show production costs
skipped,b2b,2024-06-01,Variable costs,,no_descendant_values,
skipped,b2b,2024-07-01,Variable costs,,no_descendant_values,
skipped,b2b,2024-08-01,Variable costs,,no_descendant_values,
inserted,b2b,2024-09-01,Variable costs,176649,backfilled_from_descendants,Costs - Salary variable
skipped,b2b,2024-10-01,Variable costs,,no_descendant_values,
inserted,b2b,2024-11-01,Variable costs,1028600,backfilled_from_descendants,Costs - Salary variable; Show production costs
inserted,b2b,2024-12-01,Variable costs,5850000,backfilled_from_descendants,Costs - Salary variable; Show production costs
inserted,b2b,2025-01-01,Variable costs,360000,backfilled_from_descendants,Costs - Salary variable; Show production costs
skipped,b2b,2025-02-01,Variable costs,,no_descendant_values,
inserted,b2b,2025-03-01,Variable costs,1248000,backfilled_from_descendants,Costs - Salary variable; Show production costs
inserted,b2b,2025-04-01,Variable costs,974410,backfilled_from_descendants,Costs - Salary variable; Show production costs
inserted,b2b,2025-05-01,Variable costs,2043398,backfilled_from_descendants,Show production costs
inserted,b2b,2025-06-01,Variable costs,1015770,backfilled_from_descendants,Show production costs
skipped,b2b,2025-07-01,Variable costs,,no_descendant_values,
skipped,b2b,2025-08-01,Variable costs,,no_descendant_values,
skipped,b2b,2025-09-01,Variable costs,,no_descendant_values,
skipped,b2b,2025-10-01,Variable costs,,no_descendant_values,
skipped,b2b,2025-11-01,Variable costs,,no_descendant_values,
skipped,b2b,2025-12-01,Variable costs,,no_descendant_values,
inserted,b2c_moscow,2020-01-01,Variable costs,413592,backfilled_from_descendants,Cost article - Комиссия; Costs - Salary variable
inserted,b2c_moscow,2020-02-01,Variable costs,363139,backfilled_from_descendants,Cost article - Комиссия; Costs - Salary variable
inserted,b2c_moscow,2020-03-01,Variable costs,256524,backfilled_from_descendants,Cost article - Комиссия; Costs - Salary variable
inserted,b2c_moscow,2020-04-01,Variable costs,140708,backfilled_from_descendants,Cost article - Комиссия; Costs - Salary variable
inserted,b2c_moscow,2020-05-01,Variable costs,131691,backfilled_from_descendants,Cost article - Комиссия; Costs - Salary variable
inserted,b2c_moscow,2020-06-01,Variable costs,77603,backfilled_from_descendants,Cost article - Комиссия; Costs - Salary variable
inserted,b2c_moscow,2020-07-01,Variable costs,142071,backfilled_from_descendants,Cost article - Комиссия; Costs - Salary variable
inserted,b2c_moscow,2020-08-01,Variable costs,158436,backfilled_from_descendants,Cost article - Комиссия; Costs - Salary variable
inserted,b2c_moscow,2020-09-01,Variable costs,190117,backfilled_from_descendants,Cost article - Комиссия; Costs - Salary variable
inserted,b2c_moscow,2020-10-01,Variable costs,301311,backfilled_from_descendants,Cost article - Комиссия; Cost article - Налог на прибыль (доходы); Costs - Salary variable
inserted,b2c_moscow,2020-11-01,Variable costs,221224,backfilled_from_descendants,Cost article - Комиссия; Cost article - Налог на прибыль (доходы); Costs - Salary variable
inserted,b2c_moscow,2020-12-01,Variable costs,297312,backfilled_from_descendants,Cost article - Комиссия; Cost article - Налог на прибыль (доходы); Costs - Salary variable
inserted,b2c_moscow,2021-01-01,Variable costs,290880,backfilled_from_descendants,Cost article - Комиссия; Cost article - Налог на прибыль (доходы); Costs - Salary variable
inserted,b2c_moscow,2021-02-01,Variable costs,363032,backfilled_from_descendants,Cost article - Комиссия; Cost article - Налог на прибыль (доходы); Costs - Salary variable
inserted,b2c_moscow,2021-03-01,Variable costs,524228,backfilled_from_descendants,Cost article - Комиссия; Cost article - Налог на прибыль (доходы); Costs - Salary variable
inserted,b2c_moscow,2021-04-01,Variable costs,361598,backfilled_from_descendants,Cost article - Комиссия; Cost article - Налог на прибыль (доходы); Costs - Salary variable
inserted,b2c_moscow,2021-05-01,Variable costs,370655,backfilled_from_descendants,Cost article - Комиссия; Cost article - Налог на прибыль (доходы); Costs - Salary variable
inserted,b2c_moscow,2021-06-01,Variable costs,291661,backfilled_from_descendants,Cost article - Комиссия; Cost article - Налог на прибыль (доходы); Costs - Salary variable
inserted,b2c_moscow,2021-07-01,Variable costs,280598,backfilled_from_descendants,Cost article - Комиссия; Cost article - Налог на прибыль (доходы); Costs - Salary variable
inserted,b2c_moscow,2021-08-01,Variable costs,505309,backfilled_from_descendants,Cost article - Комиссия; Cost article - Налог на прибыль (доходы); Costs - Salary variable
inserted,b2c_moscow,2021-09-01,Variable costs,479941,backfilled_from_descendants,Cost article - Комиссия; Cost article - Налог на прибыль (доходы); Costs - Salary variable
inserted,b2c_moscow,2021-10-01,Variable costs,554436,backfilled_from_descendants,Cost article - Комиссия; Cost article - Налог на прибыль (доходы); Costs - Salary variable
inserted,b2c_moscow,2021-11-01,Variable costs,488648,backfilled_from_descendants,Cost article - Комиссия; Cost article - Налог на прибыль (доходы); Costs - Salary variable
inserted,b2c_moscow,2021-12-01,Variable costs,706477,backfilled_from_descendants,Cost article - Комиссия; Cost article - Налог на прибыль (доходы); Cost article - Страховые взносы; Costs - Salary variable
inserted,b2c_moscow,2022-01-01,Variable costs,744786,backfilled_from_descendants,Cost article - Комиссия; Cost article - Налог на прибыль (доходы); Costs - Salary variable
inserted,b2c_moscow,2022-02-01,Variable costs,762178,backfilled_from_descendants,Cost article - Комиссия; Cost article - Налог на прибыль (доходы); Costs - Salary variable
inserted,b2c_moscow,2022-03-01,Variable costs,645530,backfilled_from_descendants,Cost article - Комиссия; Cost article - Налог на прибыль (доходы); Costs - Salary variable; Returns amount
inserted,b2c_moscow,2022-04-01,Variable costs,733917,backfilled_from_descendants,Cost article - Комиссия; Cost article - Налог на прибыль (доходы); Cost article - Страховые взносы; Costs - Salary variable
inserted,b2c_moscow,2022-05-01,Variable costs,624558,backfilled_from_descendants,Cost article - Комиссия; Cost article - Налог на прибыль (доходы); Costs - Salary variable
inserted,b2c_moscow,2022-06-01,Variable costs,645244,backfilled_from_descendants,Cost article - Комиссия; Cost article - Налог на прибыль (доходы); Costs - Salary variable; Returns amount
inserted,b2c_moscow,2022-07-01,Variable costs,686107,backfilled_from_descendants,Cost article - Комиссия; Cost article - Налог на прибыль (доходы); Costs - Salary variable; Returns amount
inserted,b2c_moscow,2022-08-01,Variable costs,628506,backfilled_from_descendants,Cost article - Комиссия; Cost article - Налог на прибыль (доходы); Costs - Salary variable
inserted,b2c_moscow,2022-09-01,Variable costs,775511,backfilled_from_descendants,Cost article - Комиссия; Cost article - Налог на прибыль (доходы); Cost article - Реквизит/костюмы; Costs - Salary variable; Returns amount
inserted,b2c_moscow,2022-10-01,Variable costs,645343,backfilled_from_descendants,Cost article - Комиссия; Cost article - Налог на прибыль (доходы); Cost article - Реквизит/костюмы; Costs - Salary variable; Returns amount
inserted,b2c_moscow,2022-11-01,Variable costs,731323,backfilled_from_descendants,Cost article - Комиссия; Cost article - Налог на прибыль (доходы); Cost article - Реквизит/костюмы; Costs - Salary variable; Returns amount
inserted,b2c_moscow,2022-12-01,Variable costs,891478,backfilled_from_descendants,Cost article - Комиссия; Cost article - Налог на прибыль (доходы); Cost article - Реквизит/костюмы; Cost article - Страховые взносы; Costs - Salary variable; Returns amount
inserted,b2c_moscow,2023-01-01,Variable costs,923369,backfilled_from_descendants,Cost article - Комиссия; Cost article - Налог на прибыль (доходы); Cost article - Реквизит/костюмы; Costs - Salary variable; Returns amount
inserted,b2c_moscow,2023-02-01,Variable costs,850897,backfilled_from_descendants,Cost article - Комиссия; Cost article - Налог на прибыль (доходы); Cost article - Реквизит/костюмы; Costs - Salary variable; Returns amount
inserted,b2c_moscow,2023-03-01,Variable costs,1236210,backfilled_from_descendants,Cost article - Комиссия; Cost article - Налог на прибыль (доходы); Cost article - Страховые взносы; Costs - Salary variable; Returns amount; Show production costs
inserted,b2c_moscow,2023-04-01,Variable costs,801529,backfilled_from_descendants,Cost article - Комиссия; Cost article - Налог на прибыль (доходы); Costs - Salary variable; Returns amount; Show production costs; Team expenses
inserted,b2c_moscow,2023-05-01,Variable costs,851486,backfilled_from_descendants,Cost article - Комиссия; Cost article - Налог на прибыль (доходы); Costs - Salary variable; Returns amount; Show production costs; Team expenses
inserted,b2c_moscow,2023-06-01,Variable costs,696346,backfilled_from_descendants,Cost article - Комиссия; Cost article - Налог на прибыль (доходы); Cost article - Реквизит/костюмы; Costs - Salary variable; Team expenses
inserted,b2c_moscow,2023-07-01,Variable costs,790989,backfilled_from_descendants,Cost article - Комиссия; Cost article - Налог на прибыль (доходы); Costs - Salary variable; Returns amount; Show production costs; Team expenses
inserted,b2c_moscow,2023-08-01,Variable costs,769547,backfilled_from_descendants,Cost article - Комиссия; Cost article - Налог на прибыль (доходы); Cost article - Реквизит/костюмы; Costs - Salary variable; Returns amount; Team expenses
inserted,b2c_moscow,2023-09-01,Variable costs,1103236,backfilled_from_descendants,Cost article - Комиссия; Cost article - Налог на прибыль (доходы); Cost article - Реквизит/костюмы; Costs - Salary variable; Returns amount; Team expenses
inserted,b2c_moscow,2023-10-01,Variable costs,1300048,backfilled_from_descendants,Cost article - Комиссия; Cost article - Налог на прибыль (доходы); Cost article - Реквизит/костюмы; Costs - Salary variable; Returns amount; Team expenses
inserted,b2c_moscow,2023-11-01,Variable costs,1296768,backfilled_from_descendants,Cost article - Комиссия; Cost article - Налог на прибыль (доходы); Cost article - Реквизит/костюмы; Costs - Salary variable; Returns amount; Team expenses
inserted,b2c_moscow,2023-12-01,Variable costs,1549359,backfilled_from_descendants,Cost article - Комиссия; Cost article - Налог на прибыль (доходы); Cost article - Реквизит/костюмы; Cost article - Страховые взносы; Costs - Salary variable; Returns amount; Team expenses
inserted,b2c_moscow,2024-01-01,Variable costs,1656582,backfilled_from_descendants,Cost article - Комиссия; Cost article - Налог на прибыль (доходы); Cost article - Реквизит/костюмы; Cost article - Страховые взносы; Costs - Salary variable; Returns amount; Team expenses
inserted,b2c_moscow,2024-02-01,Variable costs,1671504,backfilled_from_descendants,Cost article - Комиссия; Cost article - Налог на прибыль (доходы); Cost article - Реквизит/костюмы; Costs - Salary variable; Returns amount; Team expenses
inserted,b2c_moscow,2024-03-01,Variable costs,1652340,backfilled_from_descendants,Cost article - Комиссия; Cost article - Налог на прибыль (доходы); Cost article - Реквизит/костюмы; Costs - Salary variable; Returns amount; Team expenses
inserted,b2c_moscow,2024-04-01,Variable costs,1069024,backfilled_from_descendants,Cost article - Комиссия; Cost article - Налог на прибыль (доходы); Cost article - Реквизит/костюмы; Costs - Salary variable; Returns amount; Team expenses
inserted,b2c_moscow,2024-05-01,Variable costs,1225290,backfilled_from_descendants,Cost article - Комиссия; Cost article - Налог на прибыль (доходы); Cost article - Реквизит/костюмы; Costs - Salary variable; Returns amount; Team expenses
inserted,b2c_moscow,2024-06-01,Variable costs,1430393,backfilled_from_descendants,Cost article - Комиссия; Cost article - Налог на прибыль (доходы); Cost article - Реквизит/костюмы; Cost article - Страховые взносы; Costs - Salary variable; Returns amount; Team expenses
inserted,b2c_moscow,2024-07-01,Variable costs,1698598,backfilled_from_descendants,Cost article - Комиссия; Cost article - Налог на прибыль (доходы); Cost article - Реквизит/костюмы; Cost article - Страховые взносы; Costs - Salary variable; Returns amount; Team expenses
inserted,b2c_moscow,2024-08-01,Variable costs,1986592,backfilled_from_descendants,Cost article - Комиссия; Cost article - Налог на прибыль (доходы); Cost article - Реквизит/костюмы; Cost article - Страховые взносы; Costs - Salary variable; Returns amount; Team expenses
inserted,b2c_moscow,2024-09-01,Variable costs,1607162,backfilled_from_descendants,Cost article - Комиссия; Cost article - Налог на прибыль (доходы); Cost article - Реквизит/костюмы; Costs - Salary variable; Returns amount; Team expenses
inserted,b2c_moscow,2024-10-01,Variable costs,1671112,backfilled_from_descendants,Cost article - Комиссия; Cost article - Налог на прибыль (доходы); Cost article - Реквизит/костюмы; Cost article - Страховые взносы; Costs - Salary variable; Returns amount; Team expenses
inserted,b2c_moscow,2024-11-01,Variable costs,2032753,backfilled_from_descendants,Cost article - Комиссия; Cost article - Налог на прибыль (доходы); Cost article - Реквизит/костюмы; Cost article - Страховые взносы; Costs - Salary variable; Returns amount; Team expenses
inserted,b2c_moscow,2024-12-01,Variable costs,2481989,backfilled_from_descendants,Cost article - Комиссия; Cost article - Налог на прибыль (доходы); Cost article - Страховые взносы; Costs - Salary variable; Returns amount; Show production costs; Team expenses
inserted,b2c_moscow,2025-01-01,Variable costs,2068715,backfilled_from_descendants,Cost article - Комиссия; Cost article - Налог на прибыль (доходы); Cost article - Страховые взносы; Costs - Salary variable; Returns amount; Show production costs; Team expenses
inserted,b2c_moscow,2025-02-01,Variable costs,1466130,backfilled_from_descendants,Cost article - Комиссия; Cost article - Налог на прибыль (доходы); Cost article - Реквизит/костюмы; Cost article - Страховые взносы; Costs - Salary variable; Returns amount; Team expenses
inserted,b2c_moscow,2025-03-01,Variable costs,1926661,backfilled_from_descendants,Cost article - Комиссия; Cost article - Налог на прибыль (доходы); Costs - Salary variable; Returns amount; Show production costs; Team expenses
inserted,b2c_moscow,2025-04-01,Variable costs,1240817.1,backfilled_from_descendants,Cost article - Комиссия; Cost article - Налог на прибыль (доходы); Costs - Salary variable; Returns amount; Team expenses; Variable logistics costs
inserted,b2c_moscow,2025-05-01,Variable costs,1706253.5,backfilled_from_descendants,Cost article - Комиссия; Cost article - Налог на прибыль (доходы); Costs - Salary variable; Returns amount; Team expenses; Variable logistics costs
inserted,b2c_moscow,2025-06-01,Variable costs,2322701.45,backfilled_from_descendants,Cost article - Комиссия; Cost article - Налог на прибыль (доходы); Cost article - Страховые взносы; Costs - Salary variable; Returns amount; Team expenses; Variable logistics costs
skipped,b2c_moscow,2025-07-01,Variable costs,,no_descendant_values,
skipped,b2c_moscow,2025-08-01,Variable costs,,no_descendant_values,
skipped,b2c_moscow,2025-09-01,Variable costs,,no_descendant_values,
skipped,b2c_moscow,2025-10-01,Variable costs,,no_descendant_values,
skipped,b2c_moscow,2025-11-01,Variable costs,,no_descendant_values,
skipped,b2c_moscow,2025-12-01,Variable costs,,no_descendant_values,
skipped,b2c_spb,2020-01-01,Variable costs,,no_descendant_values,
skipped,b2c_spb,2020-02-01,Variable costs,,no_descendant_values,
skipped,b2c_spb,2020-03-01,Variable costs,,no_descendant_values,
skipped,b2c_spb,2020-04-01,Variable costs,,no_descendant_values,
skipped,b2c_spb,2020-05-01,Variable costs,,no_descendant_values,
skipped,b2c_spb,2020-06-01,Variable costs,,no_descendant_values,
skipped,b2c_spb,2020-07-01,Variable costs,,no_descendant_values,
skipped,b2c_spb,2020-08-01,Variable costs,,no_descendant_values,
skipped,b2c_spb,2020-09-01,Variable costs,,no_descendant_values,
skipped,b2c_spb,2020-10-01,Variable costs,,no_descendant_values,
skipped,b2c_spb,2020-11-01,Variable costs,,no_descendant_values,
skipped,b2c_spb,2020-12-01,Variable costs,,no_descendant_values,
skipped,b2c_spb,2021-01-01,Variable costs,,no_descendant_values,
skipped,b2c_spb,2021-02-01,Variable costs,,no_descendant_values,
skipped,b2c_spb,2021-03-01,Variable costs,,no_descendant_values,
skipped,b2c_spb,2021-04-01,Variable costs,,no_descendant_values,
skipped,b2c_spb,2021-05-01,Variable costs,,no_descendant_values,
skipped,b2c_spb,2021-06-01,Variable costs,,no_descendant_values,
skipped,b2c_spb,2021-07-01,Variable costs,,no_descendant_values,
skipped,b2c_spb,2021-08-01,Variable costs,,no_descendant_values,
skipped,b2c_spb,2021-09-01,Variable costs,,no_descendant_values,
skipped,b2c_spb,2021-10-01,Variable costs,,no_descendant_values,
skipped,b2c_spb,2021-11-01,Variable costs,,no_descendant_values,
skipped,b2c_spb,2021-12-01,Variable costs,,no_descendant_values,
skipped,b2c_spb,2022-01-01,Variable costs,,no_descendant_values,
skipped,b2c_spb,2022-02-01,Variable costs,,no_descendant_values,
skipped,b2c_spb,2022-03-01,Variable costs,,no_descendant_values,
skipped,b2c_spb,2022-04-01,Variable costs,,no_descendant_values,
skipped,b2c_spb,2022-05-01,Variable costs,,no_descendant_values,
skipped,b2c_spb,2022-06-01,Variable costs,,no_descendant_values,
skipped,b2c_spb,2022-07-01,Variable costs,,no_descendant_values,
skipped,b2c_spb,2022-08-01,Variable costs,,no_descendant_values,
skipped,b2c_spb,2022-09-01,Variable costs,,no_descendant_values,
skipped,b2c_spb,2022-10-01,Variable costs,,no_descendant_values,
skipped,b2c_spb,2022-11-01,Variable costs,,no_descendant_values,
skipped,b2c_spb,2022-12-01,Variable costs,,no_descendant_values,
skipped,b2c_spb,2023-01-01,Variable costs,,no_descendant_values,
skipped,b2c_spb,2023-02-01,Variable costs,,no_descendant_values,
skipped,b2c_spb,2023-03-01,Variable costs,,no_descendant_values,
skipped,b2c_spb,2023-04-01,Variable costs,,no_descendant_values,
skipped,b2c_spb,2023-05-01,Variable costs,,no_descendant_values,
skipped,b2c_spb,2023-06-01,Variable costs,,no_descendant_values,
skipped,b2c_spb,2023-07-01,Variable costs,,no_descendant_values,
