sheet_unit,row_number,col_a,col_b,value,reviewed_target_metric_or_metrics,effective_ingestion_action,effective_target_metric_or_metrics,latest_import_status,latest_import_reason,final_status,final_reason,source_cell_a1,source_cell_url
b2c_moscow,4,Поступления на счет,Поступления на счет,1 430 344,,exclude,,skipped,not_map_to_metric,не перенесено,not_map_to_metric,KZ4,https://docs.google.com/spreadsheets/d/1gHuxPxZntVLAxhxY9yFuBRhvozm45r2LcnvId83CY-s/edit?gid=1411303700#gid=1411303700&range=Статистика_понедельно!KZ4
b2c_moscow,5,Поступления на счет - B2C,Поступления на счет - B2C,1 420 344,Revenue,map_to_metric,Revenue,inserted,,перенесено,,KZ5,https://docs.google.com/spreadsheets/d/1gHuxPxZntVLAxhxY9yFuBRhvozm45r2LcnvId83CY-s/edit?gid=1411303700#gid=1411303700&range=Статистика_понедельно!KZ5
b2c_moscow,8,билеты,билеты,863 058,Number of tickets,map_to_metric,Number of tickets,inserted,,перенесено,,KZ8,https://docs.google.com/spreadsheets/d/1gHuxPxZntVLAxhxY9yFuBRhvozm45r2LcnvId83CY-s/edit?gid=1411303700#gid=1411303700&range=Статистика_понедельно!KZ8
b2c_moscow,9,билеты,билеты виджет (сайт),701 664,Number of tickets,map_to_metric,Number of tickets,inserted,,перенесено,,KZ9,https://docs.google.com/spreadsheets/d/1gHuxPxZntVLAxhxY9yFuBRhvozm45r2LcnvId83CY-s/edit?gid=1411303700#gid=1411303700&range=Статистика_понедельно!KZ9
b2c_moscow,10,билеты,билеты яндекс афиша,42 390,Number of tickets,map_to_metric,Number of tickets,inserted,,перенесено,,KZ10,https://docs.google.com/spreadsheets/d/1gHuxPxZntVLAxhxY9yFuBRhvozm45r2LcnvId83CY-s/edit?gid=1411303700#gid=1411303700&range=Статистика_понедельно!KZ10
b2c_moscow,11,билеты,билеты от остальных агрегаторов,119 004,Number of tickets,map_to_metric,Number of tickets,inserted,,перенесено,,KZ11,https://docs.google.com/spreadsheets/d/1gHuxPxZntVLAxhxY9yFuBRhvozm45r2LcnvId83CY-s/edit?gid=1411303700#gid=1411303700&range=Статистика_понедельно!KZ11
b2c_moscow,12,билеты,афиша.ру,84 444,Number of tickets,map_to_metric,Number of tickets,inserted,,перенесено,,KZ12,https://docs.google.com/spreadsheets/d/1gHuxPxZntVLAxhxY9yFuBRhvozm45r2LcnvId83CY-s/edit?gid=1411303700#gid=1411303700&range=Статистика_понедельно!KZ12
b2c_moscow,13,билеты,кассир,34 560,Number of tickets,map_to_metric,Number of tickets,inserted,,перенесено,,KZ13,https://docs.google.com/spreadsheets/d/1gHuxPxZntVLAxhxY9yFuBRhvozm45r2LcnvId83CY-s/edit?gid=1411303700#gid=1411303700&range=Статистика_понедельно!KZ13
b2c_moscow,14,билеты,тикетленд,0,Number of tickets,map_to_metric,Number of tickets,inserted,,перенесено,,KZ14,https://docs.google.com/spreadsheets/d/1gHuxPxZntVLAxhxY9yFuBRhvozm45r2LcnvId83CY-s/edit?gid=1411303700#gid=1411303700&range=Статистика_понедельно!KZ14
b2c_moscow,15,билеты сд,билеты сд,293 532,Number of tickets,map_to_metric,Number of tickets,inserted,,перенесено,,KZ15,https://docs.google.com/spreadsheets/d/1gHuxPxZntVLAxhxY9yFuBRhvozm45r2LcnvId83CY-s/edit?gid=1411303700#gid=1411303700&range=Статистика_понедельно!KZ15
b2c_moscow,16,билеты сд,билет сд виджет (сайт),238 752,Number of tickets,map_to_metric,Number of tickets,inserted,,перенесено,,KZ16,https://docs.google.com/spreadsheets/d/1gHuxPxZntVLAxhxY9yFuBRhvozm45r2LcnvId83CY-s/edit?gid=1411303700#gid=1411303700&range=Статистика_понедельно!KZ16
b2c_moscow,17,билеты сд,билеты сд яндекс афиша,24 750,Number of tickets,map_to_metric,Number of tickets,inserted,,перенесено,,KZ17,https://docs.google.com/spreadsheets/d/1gHuxPxZntVLAxhxY9yFuBRhvozm45r2LcnvId83CY-s/edit?gid=1411303700#gid=1411303700&range=Статистика_понедельно!KZ17
b2c_moscow,18,билеты сд,билеты сд от остальных агрегаторов,30 030,Number of tickets,map_to_metric,Number of tickets,inserted,,перенесено,,KZ18,https://docs.google.com/spreadsheets/d/1gHuxPxZntVLAxhxY9yFuBRhvozm45r2LcnvId83CY-s/edit?gid=1411303700#gid=1411303700&range=Статистика_понедельно!KZ18
b2c_moscow,19,билеты сд,афиша.ру,10 230,Number of tickets,map_to_metric,Number of tickets,inserted,,перенесено,,KZ19,https://docs.google.com/spreadsheets/d/1gHuxPxZntVLAxhxY9yFuBRhvozm45r2LcnvId83CY-s/edit?gid=1411303700#gid=1411303700&range=Статистика_понедельно!KZ19
b2c_moscow,20,билеты сд,кассир,19 800,Number of tickets,map_to_metric,Number of tickets,inserted,,перенесено,,KZ20,https://docs.google.com/spreadsheets/d/1gHuxPxZntVLAxhxY9yFuBRhvozm45r2LcnvId83CY-s/edit?gid=1411303700#gid=1411303700&range=Статистика_понедельно!KZ20
b2c_moscow,21,билеты сд,тикетленд,0,Number of tickets,map_to_metric,Number of tickets,inserted,,перенесено,,KZ21,https://docs.google.com/spreadsheets/d/1gHuxPxZntVLAxhxY9yFuBRhvozm45r2LcnvId83CY-s/edit?gid=1411303700#gid=1411303700&range=Статистика_понедельно!KZ21
b2c_moscow,22,Сертификаты (продажи),Сертификаты (продажи),196 170,UPD: Revenue,map_to_metric,Revenue,inserted,,перенесено,,KZ22,https://docs.google.com/spreadsheets/d/1gHuxPxZntVLAxhxY9yFuBRhvozm45r2LcnvId83CY-s/edit?gid=1411303700#gid=1411303700&range=Статистика_понедельно!KZ22
b2c_moscow,23,Сертификаты (продажи),сертификаты электронные,128 813,UPD: Revenue,map_to_metric,Revenue,inserted,,перенесено,,KZ23,https://docs.google.com/spreadsheets/d/1gHuxPxZntVLAxhxY9yFuBRhvozm45r2LcnvId83CY-s/edit?gid=1411303700#gid=1411303700&range=Статистика_понедельно!KZ23
b2c_moscow,24,Сертификаты (продажи),сертификаты бумажные,67 357,UPD: Revenue,map_to_metric,Revenue,inserted,,перенесено,,KZ24,https://docs.google.com/spreadsheets/d/1gHuxPxZntVLAxhxY9yFuBRhvozm45r2LcnvId83CY-s/edit?gid=1411303700#gid=1411303700&range=Статистика_понедельно!KZ24
b2c_moscow,25,Сертификаты (продажи),сертификаты через партнеров,0,UPD: Revenue,map_to_metric,Revenue,inserted,,перенесено,,KZ25,https://docs.google.com/spreadsheets/d/1gHuxPxZntVLAxhxY9yFuBRhvozm45r2LcnvId83CY-s/edit?gid=1411303700#gid=1411303700&range=Статистика_понедельно!KZ25
b2c_moscow,26,Сертификаты (продажи),доля сертификатов в выручке,"13,71 %",,exclude,,skipped,not_map_to_metric,не перенесено,not_map_to_metric,KZ26,https://docs.google.com/spreadsheets/d/1gHuxPxZntVLAxhxY9yFuBRhvozm45r2LcnvId83CY-s/edit?gid=1411303700#gid=1411303700&range=Статистика_понедельно!KZ26
b2c_moscow,27,Спецпоказы (продажи) юкасса\по счету,Спецпоказы (продажи) юкасса\по счету,50 600,Revenue - Other,map_to_metric,Revenue - Other,inserted,,перенесено,,KZ27,https://docs.google.com/spreadsheets/d/1gHuxPxZntVLAxhxY9yFuBRhvozm45r2LcnvId83CY-s/edit?gid=1411303700#gid=1411303700&range=Статистика_понедельно!KZ27
b2c_moscow,28,Другое юкасса,Другое юкасса,16 984,Revenue - Other,map_to_metric,Revenue - Other,inserted,,перенесено,,KZ28,https://docs.google.com/spreadsheets/d/1gHuxPxZntVLAxhxY9yFuBRhvozm45r2LcnvId83CY-s/edit?gid=1411303700#gid=1411303700&range=Статистика_понедельно!KZ28
b2c_moscow,30,Сертификаты и билеты (бесплатные),Сертификаты и билеты (бесплатные),32 100,Number of free certificates and tickets,map_to_metric,Number of free certificates and tickets,inserted,fallback_live_sheet,перенесено,,KZ30,https://docs.google.com/spreadsheets/d/1gHuxPxZntVLAxhxY9yFuBRhvozm45r2LcnvId83CY-s/edit?gid=1411303700#gid=1411303700&range=Статистика_понедельно!KZ30
b2c_moscow,31,Франшиза,Франшиза,10 000,Revenue,map_to_metric,Revenue,inserted,,перенесено,,KZ31,https://docs.google.com/spreadsheets/d/1gHuxPxZntVLAxhxY9yFuBRhvozm45r2LcnvId83CY-s/edit?gid=1411303700#gid=1411303700&range=Статистика_понедельно!KZ31
b2c_moscow,32,Средств на счете,Средств на счете,"3 615 813,81",Account balance,map_to_metric,Account balance,inserted,,перенесено,,KZ32,https://docs.google.com/spreadsheets/d/1gHuxPxZntVLAxhxY9yFuBRhvozm45r2LcnvId83CY-s/edit?gid=1411303700#gid=1411303700&range=Статистика_понедельно!KZ32
b2c_moscow,33,Приход с депозита,Приход с депозита,"1 553,42",Revenue - Financial operations,map_to_metric,Revenue - Financial operations,inserted,,перенесено,,KZ33,https://docs.google.com/spreadsheets/d/1gHuxPxZntVLAxhxY9yFuBRhvozm45r2LcnvId83CY-s/edit?gid=1411303700#gid=1411303700&range=Статистика_понедельно!KZ33
b2c_moscow,34,Сумма возвратов,Сумма возвратов,11 500,Returns amount,map_to_metric,Returns amount,inserted,,перенесено,,KZ34,https://docs.google.com/spreadsheets/d/1gHuxPxZntVLAxhxY9yFuBRhvozm45r2LcnvId83CY-s/edit?gid=1411303700#gid=1411303700&range=Статистика_понедельно!KZ34
b2c_moscow,37,Сумма возвратов,% возвратов от выручки,"0,81 %",,exclude,,skipped,not_map_to_metric,не перенесено,not_map_to_metric,KZ37,https://docs.google.com/spreadsheets/d/1gHuxPxZntVLAxhxY9yFuBRhvozm45r2LcnvId83CY-s/edit?gid=1411303700#gid=1411303700&range=Статистика_понедельно!KZ37
b2c_moscow,38,Всего билетов (выкуплено через сайт и все агрегаторы),Всего билетов (выкуплено через сайт и все агрегаторы),297,Number of tickets,map_to_metric,Number of tickets,inserted,,перенесено,,KZ38,https://docs.google.com/spreadsheets/d/1gHuxPxZntVLAxhxY9yFuBRhvozm45r2LcnvId83CY-s/edit?gid=1411303700#gid=1411303700&range=Статистика_понедельно!KZ38
b2c_moscow,41,Проведено шоу (БЕЗ СД),Проведено шоу (БЕЗ СД),43,Number of shows,map_to_metric,Number of shows,inserted,,перенесено,,KZ41,https://docs.google.com/spreadsheets/d/1gHuxPxZntVLAxhxY9yFuBRhvozm45r2LcnvId83CY-s/edit?gid=1411303700#gid=1411303700&range=Статистика_понедельно!KZ41
b2c_moscow,42,Отменено шоу (не СД),Отменено шоу (не СД),7,Number of shows cancelled,map_to_metric,Number of shows cancelled,inserted,,перенесено,,KZ42,https://docs.google.com/spreadsheets/d/1gHuxPxZntVLAxhxY9yFuBRhvozm45r2LcnvId83CY-s/edit?gid=1411303700#gid=1411303700&range=Статистика_понедельно!KZ42
b2c_moscow,43,Отменено шоу (не СД),"Кол-во, где не выкуплены билеты",7,Number of cancelled non-SD shows - no tickets sold,map_to_metric,Number of cancelled non-SD shows - no tickets sold,inserted,,перенесено,,KZ43,https://docs.google.com/spreadsheets/d/1gHuxPxZntVLAxhxY9yFuBRhvozm45r2LcnvId83CY-s/edit?gid=1411303700#gid=1411303700&range=Статистика_понедельно!KZ43
b2c_moscow,44,Отменено шоу (не СД),Кол-во из-за спецпоказов,0,Number of cancelled non-SD shows - special shows,map_to_metric,Number of cancelled non-SD shows - special shows,inserted,,перенесено,,KZ44,https://docs.google.com/spreadsheets/d/1gHuxPxZntVLAxhxY9yFuBRhvozm45r2LcnvId83CY-s/edit?gid=1411303700#gid=1411303700&range=Статистика_понедельно!KZ44
b2c_moscow,45,Отменено шоу (не СД),Кол-во из-за дефицита актёров/ мастеров,0,Number of cancelled non-SD shows - actor/master shortage,map_to_metric,Number of cancelled non-SD shows - actor/master shortage,inserted,,перенесено,,KZ45,https://docs.google.com/spreadsheets/d/1gHuxPxZntVLAxhxY9yFuBRhvozm45r2LcnvId83CY-s/edit?gid=1411303700#gid=1411303700&range=Статистика_понедельно!KZ45
b2c_moscow,46,Проведено СД,Проведено СД,5,Number of shows,map_to_metric,Number of shows,inserted,,перенесено,,KZ46,https://docs.google.com/spreadsheets/d/1gHuxPxZntVLAxhxY9yFuBRhvozm45r2LcnvId83CY-s/edit?gid=1411303700#gid=1411303700&range=Статистика_понедельно!KZ46
b2c_moscow,47,Отменено СД,Отменено СД,0,Number of shows cancelled,map_to_metric,Number of shows cancelled,inserted,,перенесено,,KZ47,https://docs.google.com/spreadsheets/d/1gHuxPxZntVLAxhxY9yFuBRhvozm45r2LcnvId83CY-s/edit?gid=1411303700#gid=1411303700&range=Статистика_понедельно!KZ47
b2c_moscow,48,Отменено СД,"Кол-во, где не выкуплены билеты",0,Number of cancelled SD shows - no tickets sold,map_to_metric,Number of cancelled SD shows - no tickets sold,inserted,,перенесено,,KZ48,https://docs.google.com/spreadsheets/d/1gHuxPxZntVLAxhxY9yFuBRhvozm45r2LcnvId83CY-s/edit?gid=1411303700#gid=1411303700&range=Статистика_понедельно!KZ48
b2c_moscow,49,Отменено СД,Кол-во из-за спецпоказов,0,Number of cancelled SD shows - special shows,map_to_metric,Number of cancelled SD shows - special shows,inserted,,перенесено,,KZ49,https://docs.google.com/spreadsheets/d/1gHuxPxZntVLAxhxY9yFuBRhvozm45r2LcnvId83CY-s/edit?gid=1411303700#gid=1411303700&range=Статистика_понедельно!KZ49
b2c_moscow,50,Отменено СД,Кол-во из-за дефицита актёров/ мастеров,0,Number of cancelled SD shows - actor/master shortage,map_to_metric,Number of cancelled SD shows - actor/master shortage,inserted,,перенесено,,KZ50,https://docs.google.com/spreadsheets/d/1gHuxPxZntVLAxhxY9yFuBRhvozm45r2LcnvId83CY-s/edit?gid=1411303700#gid=1411303700&range=Статистика_понедельно!KZ50
b2c_moscow,51,Зрители дошедшие (без зрителей СД),Зрители дошедшие (без зрителей СД),213,Number of show visitors,map_to_metric,Number of show visitors,inserted,,перенесено,,KZ51,https://docs.google.com/spreadsheets/d/1gHuxPxZntVLAxhxY9yFuBRhvozm45r2LcnvId83CY-s/edit?gid=1411303700#gid=1411303700&range=Статистика_понедельно!KZ51
b2c_moscow,52,Зрители дошедшие СД,Зрители дошедшие СД,49,Number of show visitors,map_to_metric,Number of show visitors,inserted,,перенесено,,KZ52,https://docs.google.com/spreadsheets/d/1gHuxPxZntVLAxhxY9yFuBRhvozm45r2LcnvId83CY-s/edit?gid=1411303700#gid=1411303700&range=Статистика_понедельно!KZ52
b2c_moscow,54,Сложность составления расписания (1 min-5max),Сложность составления расписания (1 min-5max),"2,00",Scheduling complexity,map_to_metric,Scheduling complexity,inserted,,перенесено,,KZ54,https://docs.google.com/spreadsheets/d/1gHuxPxZntVLAxhxY9yFuBRhvozm45r2LcnvId83CY-s/edit?gid=1411303700#gid=1411303700&range=Статистика_понедельно!KZ54
b2c_moscow,55,Средняя загрузка шоу (по факту дошедшие зрители),Средняя загрузка шоу (по факту дошедшие зрители),"4,95",,exclude,,skipped,not_map_to_metric,не перенесено,not_map_to_metric,KZ55,https://docs.google.com/spreadsheets/d/1gHuxPxZntVLAxhxY9yFuBRhvozm45r2LcnvId83CY-s/edit?gid=1411303700#gid=1411303700&range=Статистика_понедельно!KZ55
b2c_moscow,57,Средняя загрузка СД (по факту дошедшие зрители),Средняя загрузка СД (по факту дошедшие зрители),"9,80",,exclude,,skipped,not_map_to_metric,не перенесено,not_map_to_metric,KZ57,https://docs.google.com/spreadsheets/d/1gHuxPxZntVLAxhxY9yFuBRhvozm45r2LcnvId83CY-s/edit?gid=1411303700#gid=1411303700&range=Статистика_понедельно!KZ57
b2c_moscow,77,САЙТ,cеансы (морфеус) ВИЗИТЫ БЕЗ corporative,7010,Website visits,map_to_metric,Website visits,inserted,,перенесено,,KZ77,https://docs.google.com/spreadsheets/d/1gHuxPxZntVLAxhxY9yFuBRhvozm45r2LcnvId83CY-s/edit?gid=1411303700#gid=1411303700&range=Статистика_понедельно!KZ77
b2c_moscow,78,САЙТ,заказов всего (Я.билеты),127,Number of orders,map_to_metric,Number of orders,inserted,,перенесено,,KZ78,https://docs.google.com/spreadsheets/d/1gHuxPxZntVLAxhxY9yFuBRhvozm45r2LcnvId83CY-s/edit?gid=1411303700#gid=1411303700&range=Статистика_понедельно!KZ78
b2c_moscow,79,САЙТ,билетов всего (Я.билеты),243,Number of tickets,map_to_metric,Number of tickets,inserted,,перенесено,,KZ79,https://docs.google.com/spreadsheets/d/1gHuxPxZntVLAxhxY9yFuBRhvozm45r2LcnvId83CY-s/edit?gid=1411303700#gid=1411303700&range=Статистика_понедельно!KZ79
b2c_moscow,80,САЙТ,"конверсия в заказ,%","1,8 %",,exclude,,skipped,not_map_to_metric,не перенесено,not_map_to_metric,KZ80,https://docs.google.com/spreadsheets/d/1gHuxPxZntVLAxhxY9yFuBRhvozm45r2LcnvId83CY-s/edit?gid=1411303700#gid=1411303700&range=Статистика_понедельно!KZ80
b2c_moscow,81,САЙТ,"конверсия в билет из сеанса, %","3,5 %",,exclude,,skipped,not_map_to_metric,не перенесено,not_map_to_metric,KZ81,https://docs.google.com/spreadsheets/d/1gHuxPxZntVLAxhxY9yFuBRhvozm45r2LcnvId83CY-s/edit?gid=1411303700#gid=1411303700&range=Статистика_понедельно!KZ81
b2c_moscow,83,САЙТ,визиты(immersivny),498,Website visits,map_to_metric,Website visits,inserted,,перенесено,,KZ83,https://docs.google.com/spreadsheets/d/1gHuxPxZntVLAxhxY9yFuBRhvozm45r2LcnvId83CY-s/edit?gid=1411303700#gid=1411303700&range=Статистика_понедельно!KZ83
b2c_moscow,99,ОТЗЫВЫ,Кол-во новых на Яндекс-картах (всего),3,Number of new Yandex Maps reviews,map_to_metric,Number of new Yandex Maps reviews,inserted,,перенесено,,KZ99,https://docs.google.com/spreadsheets/d/1gHuxPxZntVLAxhxY9yFuBRhvozm45r2LcnvId83CY-s/edit?gid=1411303700#gid=1411303700&range=Статистика_понедельно!KZ99
b2c_moscow,100,ОТЗЫВЫ,Из них настоящих,3,Number of genuine reviews,map_to_metric,Number of genuine reviews,inserted,,перенесено,,KZ100,https://docs.google.com/spreadsheets/d/1gHuxPxZntVLAxhxY9yFuBRhvozm45r2LcnvId83CY-s/edit?gid=1411303700#gid=1411303700&range=Статистика_понедельно!KZ100
b2c_moscow,101,ОТЗЫВЫ,Из них ненастоящих,0,Number of non-genuine reviews,map_to_metric,Number of non-genuine reviews,inserted,,перенесено,,KZ101,https://docs.google.com/spreadsheets/d/1gHuxPxZntVLAxhxY9yFuBRhvozm45r2LcnvId83CY-s/edit?gid=1411303700#gid=1411303700&range=Статистика_понедельно!KZ101
b2c_moscow,102,ОТЗЫВЫ,Средняя оценка по отзывам за неделю (общая),"3,67",Average review rating weekly overall,map_to_metric,Average review rating weekly overall,inserted,,перенесено,,KZ102,https://docs.google.com/spreadsheets/d/1gHuxPxZntVLAxhxY9yFuBRhvozm45r2LcnvId83CY-s/edit?gid=1411303700#gid=1411303700&range=Статистика_понедельно!KZ102
b2c_moscow,103,ОТЗЫВЫ,Средняя оценка по отзывам за неделю (по настоящим),"3,67",Average review rating weekly genuine,map_to_metric,Average review rating weekly genuine,inserted,,перенесено,,KZ103,https://docs.google.com/spreadsheets/d/1gHuxPxZntVLAxhxY9yFuBRhvozm45r2LcnvId83CY-s/edit?gid=1411303700#gid=1411303700&range=Статистика_понедельно!KZ103
b2c_moscow,104,ОТЗЫВЫ,Процент негативных (от посетивших),"0,38 %",Share of negative reviews from visitors,map_to_metric,Share of negative reviews from visitors,inserted,,перенесено,,KZ104,https://docs.google.com/spreadsheets/d/1gHuxPxZntVLAxhxY9yFuBRhvozm45r2LcnvId83CY-s/edit?gid=1411303700#gid=1411303700&range=Статистика_понедельно!KZ104
b2c_moscow,105,ОТЗЫВЫ,Ликвидировано негативных,0,Number of resolved negative reviews,map_to_metric,Number of resolved negative reviews,inserted,,перенесено,,KZ105,https://docs.google.com/spreadsheets/d/1gHuxPxZntVLAxhxY9yFuBRhvozm45r2LcnvId83CY-s/edit?gid=1411303700#gid=1411303700&range=Статистика_понедельно!KZ105
b2c_moscow,107,ОТЗЫВЫ,Средняя общая,"4,9",Average review rating overall,map_to_metric,Average review rating overall,inserted,,перенесено,,KZ107,https://docs.google.com/spreadsheets/d/1gHuxPxZntVLAxhxY9yFuBRhvozm45r2LcnvId83CY-s/edit?gid=1411303700#gid=1411303700&range=Статистика_понедельно!KZ107
b2c_moscow,109,ОЦЕНКИ НА ПЛАНШЕТЕ,Процент заполнивших от всех зрителей,"48,47 %",UPD: Defer_to_calculated,defer_to_calculated,,skipped,not_map_to_metric,не переносим в fact layer,explicitly_deferred_to_calculated,KZ109,https://docs.google.com/spreadsheets/d/1gHuxPxZntVLAxhxY9yFuBRhvozm45r2LcnvId83CY-s/edit?gid=1411303700#gid=1411303700&range=Статистика_понедельно!KZ109
b2c_moscow,110,ОЦЕНКИ НА ПЛАНШЕТЕ,Средняя оценка,"4,79",UPD: Defer_to_calculated,defer_to_calculated,,skipped,not_map_to_metric,не переносим в fact layer,explicitly_deferred_to_calculated,KZ110,https://docs.google.com/spreadsheets/d/1gHuxPxZntVLAxhxY9yFuBRhvozm45r2LcnvId83CY-s/edit?gid=1411303700#gid=1411303700&range=Статистика_понедельно!KZ110
b2c_moscow,111,ОЦЕНКИ НА ПЛАНШЕТЕ,Ответ Гиппократа,"4,76",UPD: Defer_to_calculated,defer_to_calculated,,skipped,not_map_to_metric,не переносим в fact layer,explicitly_deferred_to_calculated,KZ111,https://docs.google.com/spreadsheets/d/1gHuxPxZntVLAxhxY9yFuBRhvozm45r2LcnvId83CY-s/edit?gid=1411303700#gid=1411303700&range=Статистика_понедельно!KZ111
b2c_moscow,112,ОЦЕНКИ НА ПЛАНШЕТЕ,22’07,"4,64",UPD: Defer_to_calculated,defer_to_calculated,,skipped,not_map_to_metric,не переносим в fact layer,explicitly_deferred_to_calculated,KZ112,https://docs.google.com/spreadsheets/d/1gHuxPxZntVLAxhxY9yFuBRhvozm45r2LcnvId83CY-s/edit?gid=1411303700#gid=1411303700&range=Статистика_понедельно!KZ112
b2c_moscow,113,ОЦЕНКИ НА ПЛАНШЕТЕ,До свадьбы доживет,"4,90",UPD: Defer_to_calculated,defer_to_calculated,,skipped,not_map_to_metric,не переносим в fact layer,explicitly_deferred_to_calculated,KZ113,https://docs.google.com/spreadsheets/d/1gHuxPxZntVLAxhxY9yFuBRhvozm45r2LcnvId83CY-s/edit?gid=1411303700#gid=1411303700&range=Статистика_понедельно!KZ113
b2c_moscow,114,ОЦЕНКИ НА ПЛАНШЕТЕ,Загадка амулета,"5,00",UPD: Defer_to_calculated,defer_to_calculated,,skipped,not_map_to_metric,не переносим в fact layer,explicitly_deferred_to_calculated,KZ114,https://docs.google.com/spreadsheets/d/1gHuxPxZntVLAxhxY9yFuBRhvozm45r2LcnvId83CY-s/edit?gid=1411303700#gid=1411303700&range=Статистика_понедельно!KZ114
b2c_moscow,115,ОЦЕНКИ НА ПЛАНШЕТЕ,ВДОХ,"5,00",UPD: Defer_to_calculated,defer_to_calculated,,skipped,not_map_to_metric,не переносим в fact layer,explicitly_deferred_to_calculated,KZ115,https://docs.google.com/spreadsheets/d/1gHuxPxZntVLAxhxY9yFuBRhvozm45r2LcnvId83CY-s/edit?gid=1411303700#gid=1411303700&range=Статистика_понедельно!KZ115
b2c_moscow,116,ОЦЕНКИ НА ПЛАНШЕТЕ,Иное Место,"4,33",UPD: Defer_to_calculated,defer_to_calculated,,skipped,not_map_to_metric,не переносим в fact layer,explicitly_deferred_to_calculated,KZ116,https://docs.google.com/spreadsheets/d/1gHuxPxZntVLAxhxY9yFuBRhvozm45r2LcnvId83CY-s/edit?gid=1411303700#gid=1411303700&range=Статистика_понедельно!KZ116
b2c_moscow,117,ОЦЕНКИ НА ПЛАНШЕТЕ,Судный день,"4,88",UPD: Defer_to_calculated,defer_to_calculated,,skipped,not_map_to_metric,не переносим в fact layer,explicitly_deferred_to_calculated,KZ117,https://docs.google.com/spreadsheets/d/1gHuxPxZntVLAxhxY9yFuBRhvozm45r2LcnvId83CY-s/edit?gid=1411303700#gid=1411303700&range=Статистика_понедельно!KZ117
b2c_moscow,119,Откуда пришли,От друзей,"44,8 %",UPD: Defer_to_calculated,defer_to_calculated,,skipped,not_map_to_metric,не переносим в fact layer,explicitly_deferred_to_calculated,KZ119,https://docs.google.com/spreadsheets/d/1gHuxPxZntVLAxhxY9yFuBRhvozm45r2LcnvId83CY-s/edit?gid=1411303700#gid=1411303700&range=Статистика_понедельно!KZ119
b2c_moscow,120,Откуда пришли,Наш сайт,"0,8 %",UPD: Defer_to_calculated,defer_to_calculated,,skipped,not_map_to_metric,не переносим в fact layer,explicitly_deferred_to_calculated,KZ120,https://docs.google.com/spreadsheets/d/1gHuxPxZntVLAxhxY9yFuBRhvozm45r2LcnvId83CY-s/edit?gid=1411303700#gid=1411303700&range=Статистика_понедельно!KZ120
b2c_moscow,121,Откуда пришли,Яндекс Афиша,"20,8 %",UPD: Defer_to_calculated,defer_to_calculated,,skipped,not_map_to_metric,не переносим в fact layer,explicitly_deferred_to_calculated,KZ121,https://docs.google.com/spreadsheets/d/1gHuxPxZntVLAxhxY9yFuBRhvozm45r2LcnvId83CY-s/edit?gid=1411303700#gid=1411303700&range=Статистика_понедельно!KZ121
b2c_moscow,124,Откуда пришли,Подарили сертификат,"5,6 %",UPD: Defer_to_calculated,defer_to_calculated,,skipped,not_map_to_metric,не переносим в fact layer,explicitly_deferred_to_calculated,KZ124,https://docs.google.com/spreadsheets/d/1gHuxPxZntVLAxhxY9yFuBRhvozm45r2LcnvId83CY-s/edit?gid=1411303700#gid=1411303700&range=Статистика_понедельно!KZ124
b2c_moscow,125,Откуда пришли,Другое,"0,8 %",UPD: Defer_to_calculated,defer_to_calculated,,skipped,not_map_to_metric,не переносим в fact layer,explicitly_deferred_to_calculated,KZ125,https://docs.google.com/spreadsheets/d/1gHuxPxZntVLAxhxY9yFuBRhvozm45r2LcnvId83CY-s/edit?gid=1411303700#gid=1411303700&range=Статистика_понедельно!KZ125
